model,target,validity_mean,validity_std,uniqueness_mean,uniqueness_std,internal_diversity_mean,internal_diversity_std,scaffold_diversity_mean,scaffold_diversity_std,mean_qed_mean,mean_qed_std,mean_sa_mean,mean_sa_std,fragment_incorporation_mean,fragment_incorporation_std,fraction_medchem_pass_mean,fraction_medchem_pass_std,fraction_pains_free_mean,fraction_pains_free_std,fraction_bms_free_mean,fraction_bms_free_std,fraction_lipinski_mean,fraction_lipinski_std,novelty_mean,novelty_std,nonidenticality_mean,nonidenticality_std,effective_novelty_mean,effective_novelty_std,snn_mean,snn_std,effective_hit_rate_mean,effective_hit_rate_std,effective_medchem_pass_mean,effective_medchem_pass_std,mean_qed_novel_mean,mean_qed_novel_std,mean_sa_novel_mean,mean_sa_novel_std,avg_top_1_mean,avg_top_1_std,avg_top_10_mean,avg_top_10_std,avg_top_100_mean,avg_top_100_std,avg_top_1_norm_mean,avg_top_1_norm_std,avg_top_10_norm_mean,avg_top_10_norm_std,avg_top_100_norm_mean,avg_top_100_norm_std,auc_top_10_mean,auc_top_10_std,valid_pose_rate_mean,valid_pose_rate_std,oracle_efficiency_80_mean,oracle_efficiency_80_std,oracle_efficiency_100_mean,oracle_efficiency_100_std,avg_top_1_filtered_mean,avg_top_1_filtered_std,avg_top_10_filtered_mean,avg_top_10_filtered_std,avg_top_100_filtered_mean,avg_top_100_filtered_std,auc_top_10_filtered_mean,auc_top_10_filtered_std,n_molecules_total_mean,n_molecules_total_std,n_molecules_attempted_mean,n_molecules_attempted_std,total_gen_time_mean,total_gen_time_std,avg_gen_time_per_mol_mean,avg_gen_time_per_mol_std,total_eval_time_mean,total_eval_time_std,avg_eval_time_per_mol_mean,avg_eval_time_per_mol_std,total_time_mean,total_time_std,avg_time_per_mol_mean,avg_time_per_mol_std
A2C,CHK1,0.23426855043570663,0.019071682421210337,0.7946392567377979,0.043881116072784505,0.7169235037659825,0.003551452859562339,0.6052705106995114,0.060855501677068144,0.5152219857120633,0.019793487163219936,2.683156737573622,0.034499485141429906,1.0,0.0,0.9718563547719106,0.012143334232543384,0.9967876787678767,0.002950074176578349,0.977175913426805,0.011795280449701035,0.9575369069865596,0.015904853039244982,0.9989473684210527,0.0023537557657892466,0.0016906888319037933,0.002334444006698117,0.0003990033870511958,0.0005463589083393916,0.3426903305424459,0.010482851077514191,0.18591758346992138,0.017415579063155297,0.9718340768548958,0.012127164354338018,0.5151289823921437,0.019874065064954052,2.6838136387547653,0.03500272063670909,1.0246728971962618,0.058654074563686834,0.8273644859813085,0.04122747600459972,0.4959738317757008,0.04346994226891673,1.0246728971962618,0.058654074563686834,0.8273644859813085,0.04122747600459972,0.4959738317757008,0.04346994226891673,0.7146881986146909,0.039120231765976975,1.0,0.0,164.4,56.98069848641731,1016.6,24.11016383187804,1.0246728971962618,0.058654074563686834,0.8273644859813085,0.04122747600459972,0.4959738317757008,0.04346994226891673,0.7181201189760191,0.03770592630431303,1016.6,24.11016383187804,229.6,19.781304304822775,105.874,7.9662870899811224,0.1041,0.006633626459185053,402.166,36.0668758003795,1.75918,0.19111079770646133,508.038,31.242348983391125,1.86326,0.19188012664160928
A2C,DPP4,0.6873895395058709,0.02427298744838049,0.9941146806210357,0.003315437141551507,0.7438780013868589,0.005242174068892455,0.7307092932585049,0.038109431191000125,0.6771537539539891,0.01636085215981303,3.4811921720271912,0.03210217085364608,0.7194949514421389,0.027356943784409032,0.9540536646726828,0.007150760671281179,0.9948820488713052,0.0023744550034753825,0.9504676323750567,0.00940724269322777,0.8715539902680607,0.01811032254428587,1.0,0.0,0.0022917248317567435,0.0016723153377628558,0.001563264432485323,0.0011137890505891123,0.3182995473924146,0.004517339245243417,0.4916076779598826,0.024388371703148736,0.9540536646726828,0.007150760671281179,0.6771537539539891,0.01636085215981303,3.4811921720271912,0.03210217085364608,1.6860095389507155,0.24597374319182527,1.3511923688394276,0.11218818675476792,0.8528934817170102,0.05835882105443833,1.6860095389507155,0.24597374319182527,1.3511923688394276,0.11218818675476792,0.8528934817170102,0.05835882105443833,1.052622122236789,0.09851059672037146,1.0,0.0,394.6,174.1617064684427,279.2,139.5051970358094,1.6860095389507155,0.24597374319182527,1.3511923688394276,0.11218818675476792,0.8528934817170102,0.05835882105443833,1.0526303891450446,0.09850687330476529,1023.6,0.8944271909999143,472.6,21.57081361469706,84.756,11.637157298928289,0.0828,0.011325855376085285,557.23,21.802979154234855,1.18078,0.06614353331959215,641.988,31.911881329686622,1.26358,0.07375403039834494
A2C,ITK,0.9396484375,0.009119232445256848,0.9989630332571281,0.0014633423863265225,0.8195125890171271,0.0033807001622550726,0.928765110635237,0.022099465013788705,0.6136276907706105,0.013049524412105615,2.889149310809988,0.03452282193477052,0.7763377572035022,0.053361953468854986,0.9648215590130986,0.005231261562166369,0.9860671498677732,0.005064712103571305,0.9785526437890774,0.003123093008929266,0.8993316155997053,0.02011998387755887,1.0,0.0,0.0,0.0,0.0,0.0,0.23863876541770002,0.004242106222319395,0.7287109375,0.05011678408596407,0.9648215590130986,0.005231261562166369,0.6136276907706105,0.013049524412105615,2.889149310809988,0.03452282193477052,1.9686468646864692,0.2603491604494866,1.7022277227722775,0.1267993713720036,1.1335808580858084,0.06599110275980723,1.9686468646864692,0.2603491604494866,1.7022277227722775,0.1267993713720036,1.1335808580858084,0.06599110275980723,1.2957047767765062,0.11814120328985621,1.0,0.0,429.8,190.1728161436329,192.8,63.747156799342825,1.9686468646864692,0.2603491604494866,1.7022277227722775,0.1267993713720036,1.1335808580858084,0.06599110275980723,1.2957047767765062,0.11814120328985621,1024.0,0.0,704.0,50.49257371138849,64.248,7.947481991171798,0.06274,0.0077912129992703935,1200.7559999999999,279.8786035587571,1.6912600000000002,0.2886924366865195,1265.0040000000001,284.53953711215604,1.75402,0.29281999077931825
A2C,PEPCK,0.907565882428532,0.0628900598124244,0.6534050904760447,0.02107922975074399,0.4644830045211271,0.005529942498810108,0.3000984949234297,0.017554015897822694,0.36559662901301626,0.009883568822005705,2.794290636275588,0.02655469057026231,1.0,0.0,0.9399622637032505,0.014599131393861823,0.9990228013029316,0.0021850827141691653,0.9785483974798069,0.0029434083644102166,0.49996156899400485,0.06470447868438824,0.9966528601753593,0.0003195426738255927,0.0,0.0,0.0,0.0,0.630792668004494,0.008631138599083175,0.5915266918553224,0.052615122776232204,0.9397634935647007,0.014634603894786073,0.36537193370069254,0.009900509824128696,2.7953889060464703,0.02659704845839819,1.8260869565217395,0.16681527742016095,1.544426877470356,0.08105109080139275,1.1951146245059285,0.054823250043505405,1.8260869565217395,0.16681527742016095,1.544426877470356,0.08105109080139275,1.1951146245059285,0.054823250043505405,1.2932789045346706,0.05451522768252235,1.0,0.0,393.6,133.45148931353296,100.2,28.09270367906941,1.8260869565217395,0.16681527742016095,1.544426877470356,0.08105109080139275,1.1951146245059285,0.054823250043505405,1.2958271384698914,0.05494574541738672,1013.8,24.78305872970486,869.6,59.00254231810693,94.154,7.486476474283477,0.09286,0.00643179601666595,2303.918,145.26839167554664,2.66,0.25283919791045045,2398.074,149.06756112581985,2.75286,0.258931917692663
A2C,PptT,0.036047609756947825,0.02437056999236596,0.8814729544785951,0.10719198180001137,0.6024953532317714,0.029438090038419056,0.5821428571428571,0.10791717555628184,0.5167783947451724,0.09794701077614847,2.822302737099018,0.24173676234232927,1.0,0.0,0.8701587301587301,0.057056779027612435,1.0,0.0,0.9968253968253968,0.007098628499999346,0.7773809523809524,0.09936643829259917,0.36666666666666664,0.30953382538739915,0.0027397260273972603,0.006126213636985725,0.0001990049751243781,0.00044498865223876403,0.760129766845149,0.20187585890890472,0.015689357887642898,0.01952487331383741,0.9958333333333332,0.009316949906249148,0.6655939130487402,0.08465711456957381,2.361659547570483,0.2713424816584619,0.73757589386103,0.014168638634606079,0.46586462783899263,0.00555594476606049,0.272795556408444,0.09296306236973449,0.73757589386103,0.014168638634606079,0.46586462783899263,0.00555594476606049,0.24534067634054493,0.09987962189179014,0.4598024148612966,0.0031331544847105998,1.0,0.0,12.8,0.44721359549995815,1013.4,7.092249290598861,0.73757589386103,0.014168638634606079,0.46586462783899263,0.00555594476606049,0.272795556408444,0.09296306236973449,0.46130794546903575,0.0031426020525931056,1013.4,7.092249290598861,32.2,23.44568190520378,0.0,0.0,0.0,0.0,126.1,73.21614780907282,4.30802,0.8651085521482258,126.1,73.21614780907282,4.30802,0.8651085521482258
A2C,TTK,0.674733130491958,0.10051868297129261,0.9945299344573433,0.006253996494322608,0.7263640094295382,0.006629784072384503,0.678180998110434,0.02534459133028787,0.595665763150208,0.036283720283068845,2.7598875993910843,0.07158340001996165,1.0,0.0,0.9433672017388683,0.01148846416714047,0.9978815785664784,0.001829131416517922,0.9543345077962476,0.007292548414745087,0.8746661872227625,0.045933292291187554,1.0,0.0,0.0,0.0,0.0,0.0,0.3050960124899552,0.006171860685296421,0.671212728722982,0.10159468312893255,0.9433672017388683,0.01148846416714047,0.595665763150208,0.036283720283068845,2.7598875993910843,0.07158340001996165,1.1987829614604464,0.29842163691982976,0.9552738336713995,0.12508143852543807,0.6247464503042595,0.10036052823131954,1.1987829614604464,0.29842163691982976,0.9552738336713995,0.12508143852543807,0.6247464503042595,0.10036052823131954,0.7775138855068007,0.12065227557246838,1.0,0.0,281.0,121.01652779682617,788.8,323.6274092223958,1.1987829614604464,0.29842163691982976,0.9552738336713995,0.12508143852543807,0.6247464503042595,0.10036052823131954,0.777923786780714,0.12082836306029046,1023.2,0.836660026534073,635.2,93.32309467650545,81.572,9.969268779604649,0.07972,0.00969494713755573,1097.83,247.23803065062626,1.72116,0.2306822771692702,1179.402,252.64989594298268,1.8008600000000001,0.23994729212891733
A2C,VEGFR2,0.024539814599722216,0.004976641483796528,1.0,0.0,0.6959780412228016,0.01458873840904175,0.8406984381842066,0.04430782278017083,0.6496583060068244,0.03529301854486788,3.0239932066788136,0.23735388280550648,1.0,0.0,0.9332092638544252,0.046897697745545475,0.9492349048800662,0.037457745993032546,0.9839743589743589,0.021973251924362315,0.9236765922249793,0.07243559047869062,1.0,0.0,0.0,0.0,0.0,0.0,0.2048326012561405,0.0064638606278825264,0.024539814599722216,0.004976641483796528,0.9332092638544252,0.046897697745545475,0.6496583060068244,0.03529301854486788,3.0239932066788136,0.23735388280550648,0.1610681658468025,0.27335727575194646,0.06009838369641605,0.08402954603388198,0.06009838369641605,0.08402954603388198,-0.6444132115249472,1.0330825921434952,-0.8214335910049192,0.8128873141928663,-0.8214335910049192,0.8128873141928663,0.004638400261212467,0.006969071463319794,1.0,0.0,268.4,372.4564404061232,1010.2,5.069516742254623,0.1610681658468025,0.27335727575194646,0.06009838369641605,0.08402954603388198,0.06009838369641605,0.08402954603388198,0.004780912230118931,0.007050042011364919,1010.2,5.069516742254623,22.8,4.147288270665544,47.364,3.101311013103973,0.04688,0.0031019348800385878,148.69400000000002,46.99960350896589,6.48568,1.5007406894597077,196.058,48.396922629439985,6.53258,1.5005941779841747
AHC,CHK1,0.28611747586265074,0.024727457605075134,0.8936796515073654,0.021007753853570246,0.7311258263057344,0.001940817623770845,0.6608935099475619,0.04845825114134309,0.4979332544158567,0.004948139003088366,2.7551058768796595,0.021639280508911223,1.0,0.0,0.9556770320505846,0.011054100945067029,0.9870331523371872,0.008214521766149513,0.9711587219520738,0.005394360491771348,0.9513487130305236,0.01319725901957688,0.9992395437262356,0.0017004319220530835,0.0019280744404392657,0.002847576127552346,0.0005911341536404692,0.0008806685194533846,0.32482542993865754,0.006946935120003913,0.2553804214472846,0.02151673402038713,0.955636396982521,0.011095334396793548,0.49786559839740796,0.0048991690733846795,2.755605784960509,0.021146875351568242,1.005607476635514,0.027247438760959298,0.8880373831775703,0.014744453176269446,0.5858355140186917,0.026355310531695677,1.005607476635514,0.027247438760959298,0.8880373831775703,0.014744453176269446,0.5858355140186917,0.026355310531695677,0.7332791800398053,0.023024912861563402,1.0,0.0,251.6,75.07529553721383,1015.8,5.06951674225463,1.005607476635514,0.027247438760959298,0.8880373831775703,0.014744453176269446,0.5858355140186917,0.026355310531695677,0.7372774154772708,0.02139178947567162,1015.8,5.06951674225463,274.0,24.515301344262525,111.78399999999999,15.873765463808525,0.11002,0.015378133826963535,962.624,146.70340360741469,3.5720799999999997,0.8910741590911497,1074.408,160.69625810827074,3.68208,0.9057271564880893
AHC,DPP4,0.6290564168095004,0.03927380250710702,0.984952447850595,0.014211920373279402,0.7411852668884082,0.009320377699417967,0.7384053916434276,0.035226391484930265,0.6783475543133458,0.030975661546848336,3.439935779717243,0.06667770211649393,0.6998488991487879,0.010994445911988374,0.9424382973918337,0.01642812403746699,0.9944696941529136,0.004320586981761315,0.9449792478392576,0.009215071348664622,0.8684704174044523,0.03080681594403243,1.0,0.0,0.003910737601398466,0.0028911082427684515,0.00253963638589618,0.0020244899272384713,0.3217232490672889,0.006722806422976093,0.43401689520078357,0.035080792843761296,0.9424382973918337,0.01642812403746699,0.6783475543133458,0.030975661546848336,3.439935779717243,0.06667770211649393,1.5262321144674083,0.1392345567301197,1.2905405405405403,0.10795895911810667,0.8061208267090615,0.0777101228876481,1.5262321144674083,0.1392345567301197,1.2905405405405403,0.10795895911810667,0.8061208267090615,0.0777101228876481,0.9968906758057805,0.083279121759943,1.0,0.0,398.8,134.75236547088886,370.8,107.26229533251654,1.5262321144674083,0.1392345567301197,1.2905405405405403,0.10795895911810667,0.8061208267090615,0.0777101228876481,0.9969002511185211,0.08327980741160845,1023.4,1.3416407864998674,418.0,27.31300056749533,93.338,7.5566507131135765,0.0912,0.007314711204141963,876.3960000000001,155.31925791736194,2.10444,0.4194205800863854,969.734,160.01752350914575,2.19562,0.42469846008668305
AHC,ITK,0.91484375,0.010728862474197083,1.0,0.0,0.8224451985513568,0.0027502428622049597,0.9643356657627649,0.014635461257644233,0.5489018753842035,0.039672533974059454,2.9683080215789164,0.028097905140918093,0.7751424710659127,0.027699333202817825,0.9487626176064904,0.00857967490716414,0.9835718737313336,0.0026048104638558764,0.9677351304119421,0.003542483217241962,0.8103050063211803,0.07403216851387356,1.0,0.0,0.00021668472372697725,0.0004845217719392827,0.0001953125,0.00043673202685542766,0.23615815156999936,0.003432465653645326,0.7091796875,0.0281124510849883,0.9487626176064904,0.00857967490716414,0.5489018753842035,0.039672533974059454,2.9683080215789164,0.028097905140918093,1.9727722772277232,0.19582460346338373,1.611716171617162,0.1124272939075921,1.081080858085809,0.06770318956856494,1.9727722772277232,0.19582460346338373,1.611716171617162,0.1124272939075921,1.081080858085809,0.06770318956856494,1.157412367213284,0.08618077090602475,1.0,0.0,522.4,122.77133215861103,317.8,92.70221140835854,1.9727722772277232,0.19582460346338373,1.611716171617162,0.1124272939075921,1.081080858085809,0.06770318956856494,1.157412367213284,0.08618077090602475,1024.0,0.0,670.8,27.39890508761253,73.0,12.689529148081105,0.07128,0.01240028225485211,2333.752,601.4491863158518,3.4691,0.8306974238554011,2406.75,612.8963902243186,3.5403800000000003,0.8421698474773365
