model,seed,target,validity,uniqueness,internal_diversity,scaffold_diversity,mean_qed,mean_sa,fragment_incorporation,fraction_medchem_pass,fraction_pains_free,fraction_bms_free,fraction_lipinski,novelty,nonidenticality,effective_novelty,snn,effective_hit_rate,effective_medchem_pass,mean_qed_novel,mean_sa_novel,avg_top_1,avg_top_10,avg_top_100,avg_top_1_norm,avg_top_10_norm,avg_top_100_norm,auc_top_10,valid_pose_rate,oracle_efficiency_80,oracle_efficiency_100,avg_top_1_filtered,avg_top_10_filtered,avg_top_100_filtered,auc_top_10_filtered,n_molecules_total,n_molecules_attempted,total_gen_time,avg_gen_time_per_mol,total_eval_time,avg_eval_time_per_mol,total_time,avg_time_per_mol
A2C,run_20260429_210431_r03,DPP4,0.6795634920634921,0.9956204379562044,0.7546082054254409,0.8225806451612904,0.6551711463459747,3.555567701829275,0.7419354838709677,0.9604743083003953,0.9926686217008798,0.9530791788856305,0.844574780058651,1.0,0.004379562043795621,0.002976190476190476,0.30924009589815643,0.501984126984127,0.9604743083003953,0.6551711463459747,3.555567701829275,1.0,1.0,0.8470111287758334,1.169316375198728,1.2496025437201905,0.9120826709061994,0.9411477654124712,1.0,74.0,346.0,1.0,1.0,0.8470111287758334,0.9411703326225385,1008,485,127.83,0.1268,682.55,1.4073,810.38,1.5341
A2C,run_20260429_210431_r01,ITK,0.9325396825396826,0.9989361702127659,0.8217827351553219,0.9148029818956337,0.6260469057136063,2.9283842346346973,0.8743343982960596,0.9695493300852619,0.9861554845580405,0.9776357827476039,0.9222577209797657,1.0,0.0,0.0,0.24115886481770088,0.814484126984127,0.9695493300852619,0.6260469057136063,2.9283842346346973,1.0,1.0,0.9143316831683174,1.6130363036303634,1.2124587458745881,1.0029702970297034,0.9495346873240801,1.0,63.0,223.0,1.0,1.0,0.9143316831683174,0.9495346873240801,1008,790,86.71,0.086,1471.77,1.863,1558.47,1.949
A2C,run_20260429_210431_r04,VEGFR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,1007.0,0.0,0.0,0.0,0.0,1007,0,70.55,0.0701,0.0,0.0,70.55,0.0701
A2C,run_20260429_210431_r02,CHK1,0.18065153010858837,0.5573770491803278,0.7025763105758216,0.6078431372549019,0.5310531702321319,2.6141937152577137,1.0,0.9901960784313726,1.0,0.9901960784313726,0.9607843137254902,1.0,0.0,0.0,0.3748862391357736,0.10069101678183613,0.9901960784313726,0.5310531702321319,2.6141937152577137,0.8429906542056075,0.7216822429906542,0.3040934579439249,0.8429906542056075,0.7216822429906542,0.3040934579439249,0.6331159413604451,1.0,159.0,1013.0,0.8429906542056075,0.7216822429906542,0.3040934579439249,0.6541949838276563,1013,180,152.81,0.1509,404.16,2.2453,556.97,2.3962
A2C,run_20260429_210431_r01,PptT,0.01579466929911155,1.0,0.5773684128334997,0.625,0.4229109508112526,3.073821253745194,1.0,0.8125,1.0,1.0,0.6875,0.0625,0.0,0.0,0.9585674157303371,0.0009871668311944718,1.0,0.6139022244294082,2.7538327746381803,0.7326287384753767,0.43355070834270293,0.3927928940859006,0.7326287384753767,0.43355070834270293,0.3927928940859006,0.43002472298637,1.0,13.0,1013.0,0.7326287384753767,0.43355070834270293,0.3927928940859006,0.43133244411117116,1013,13,0.0,0.0,63.34,4.8727,63.34,4.8727
A2C,run_20260429_210431_r01,TTK,0.7328699106256207,0.9932249322493225,0.722468937368173,0.6766712141882674,0.6330750871991531,2.7517116633036953,1.0,0.9577080491132333,0.9972714870395635,0.9618008185538881,0.8813096862210096,1.0,0.0,0.0,0.2988994102221467,0.7279046673286991,0.9577080491132333,0.6330750871991531,2.7517116633036953,1.0,0.8921906693711967,0.5534939148073021,1.1232251521298176,0.9056795131845842,0.5548427991886409,0.7761876297962941,1.0,218.0,1007.0,1.0,0.8921906693711967,0.5534939148073021,0.7767909078959917,1007,704,119.87,0.119,1167.43,1.6583,1287.3,1.7773
A2C,run_20260429_210431_r02,PEPCK,0.936318407960199,0.6291179596174282,0.4419029250430552,0.19932432432432431,0.36673645452314796,2.7269376693218663,1.0,0.9375,1.0,0.9831081081081081,0.4966216216216216,0.9966216216216216,0.0,0.0,0.6498155409261784,0.5870646766169154,0.9372881355932203,0.3665114459682998,2.7278207869595863,1.0,1.0,1.0,1.0426877470355733,1.1683794466403166,1.1156916996047432,0.9826242200129287,1.0,30.0,168.0,1.0,1.0,1.0,0.9838476121182157,1005,898,130.45,0.1298,2419.24,2.694,2549.68,2.8238
A2C,run_20260429_210431_r02,DPP4,0.5952380952380952,0.9966666666666667,0.7519966534202525,0.7474916387959866,0.6514457555797665,3.5323188787634643,0.7909698996655519,0.9492600422832981,0.9899665551839465,0.9548494983277592,0.8561872909698997,1.0,0.0,0.0,0.30463149033284637,0.46924603174603174,0.9492600422832981,0.6514457555797665,3.5323188787634643,1.0,1.0,0.7978457869634339,1.034181240063593,1.2003179650238471,0.8420111287758343,0.9235089343545225,1.0,144.0,399.0,1.0,1.0,0.7978457869634339,0.9240973557215679,1008,447,128.44,0.1274,639.35,1.4303,767.79,1.5577
A2C,run_20260429_210431_r01,CHK1,0.24451097804391217,0.689795918367347,0.7174883109039382,0.4970414201183432,0.5028833191417855,2.649021507001665,1.0,0.9704142011834319,1.0,0.9763313609467456,0.9112426035502958,0.9940828402366864,0.0,0.0,0.32175394116632844,0.16766467065868262,0.9702380952380952,0.5023674521570851,2.6523944393249717,0.9196261682242991,0.8265420560747664,0.4971214953271029,0.9196261682242991,0.8265420560747664,0.4971214953271029,0.7542740686850599,1.0,135.0,1002.0,0.9196261682242991,0.8265420560747664,0.4971214953271029,0.7562436164608923,1002,239,152.68,0.1524,464.52,1.9436,617.2,2.096
A2C,run_20260429_210431_r02,PptT,0.15052732502396932,0.6751592356687898,0.5295352477264714,0.4056603773584906,0.662479279920172,2.4861466701038295,1.0,0.9622641509433962,1.0,0.9905660377358491,0.9433962264150944,0.8584905660377359,0.0,0.0,0.4374417581950075,0.087248322147651,0.989010989010989,0.704067370142721,2.385760876326605,0.7596132223971219,0.4957274567123905,0.24968518102091317,0.7596132223971219,0.4957274567123905,0.24968518102091317,0.4791954895076546,1.0,13.0,1043.0,0.7596132223971219,0.4957274567123905,0.24968518102091317,0.4806637695104525,1043,133,0.0,0.0,302.01,2.2708,302.01,2.2708
