id,smiles,ic50
ralt-1,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1,0.07
2a,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)N1,0.07
2b,COC(=O)CC[C@H](NC(=O)C1=CC=C(N(C)CC2=CC3=C(NC(C)=NC3=O)C=C2)S1)C(=O)OC,12.5
2c,CCOC(=O)CC[C@H](NC(=O)C1=CC=C(S1)N(C)CC1=CC2=C(C=C1)N=C(C)NC2=O)C(=O)OCC,7.5
2d,CCOC(=O)CC[C@@H](NC(=O)C1=CC=C(S1)N(C)CC1=CC2=C(C=C1)N=C(C)NC2=O)C(=O)OCC,1.19
2e,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NCC(O)=O)s1,0.21
2f,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)NCCCC(O)=O,0.10
2g,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NCCC2=NNN=N2)S1,0.20
2h,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NCCCC2=NNN=N2)S1,1.01
2i,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)N[C@@H](CCC2=NNN=N2)C(O)=O)S1,0.18
2j,CN(Cc1ccc2c(c1)C(=O)N=C(C)N2)c1ccc(C(=O)N[C@H](CCc2nn[nH]n2)C(O)=O)s1,0.08
2k,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(O)=O)c2nnn[nH]2)s1,0.04
2l,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(O)=O)c2nnn[nH]2)s1,0.07
2m,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCCCS(N)(=O)=O)s1,0.76
2n,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCCNS(C)(=O)=O)s1,1.13
2o,CN(Cc1ccc2c(c1)C(=O)NC(C)=N2)c1ccc(C(=O)NCCCS(=O)c2ccccc2O)s1,0.22
2p,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCc2nsc(=O)[nH]2)s1,0.08
2q,C[C@H]1N(CCNC(=O)c2ccc(N(C)Cc3ccc4c(c3)C(=O)NC(C)=N4)s2)C(=O)NC1=O,2.69
2r,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)NCC1=CC=CC=N1,2.31
2s,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)NCC1=CC=CC(=C1)C(O)=O,0.33
2t,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)NC1=NNC2=C1C=CC=C2,1.0
2u,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N2CCc3ccc(C(O)=O)cc3C2)s1,2.03
2v,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NCc2cc(=O)[nH]c(=O)[nH]2)s1,0.53
3a,CN(Cc1ccc2NC(C)=NC(=O)c2c1)C1=CC(=CC=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,0.09
3b,CCOC(=O)CC[C@H](NC(=O)C1=CC=CC(=C1)N(C)Cc1ccc2NC(C)=NC(=O)c2c1)C(=O)OCC,50
3c,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NCCCS(C)(=N)=O)C=C1,33.9
3d,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NC2=NNC3=C2C=CC=C3)C=C1,1.36
3e,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C=C1)C(=O)N[C@@]1(CCC[C@H](C1)C(O)=O)C(O)=O,0.44
3f,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C=C1)C(=O)N[C@@]1(CCC[C@@H](C1)C(O)=O)C(O)=O,0.29
3g,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C=C1)C(=O)N[C@@]1(CC[C@@H](C1)C(O)=O)C(O)=O,0.06
3h,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)N2CCCS(=N)(=O)CC2)C=C1,24
