molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL2177848,NCc1ccc(-n2c(-c3cccnc3)nc3cccnc32)cc1,5.06,-8.904,-0.1819169745707454
CHEMBL2177835,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.62,-13.218,0.7557052814605519
CHEMBL2177827,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5ccccc5)cc4)c3n2)c1,7.8,-13.866,0.8965442295153225
CHEMBL2177840,CC(C)(C)c1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,5.41,-10.03,0.06281243207998254
CHEMBL2177837,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,7.33,-12.681999999999999,0.6392088676374698
CHEMBL2177818,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,7.55,-11.76,0.4388176483373179
CHEMBL2177836,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1,8.3,-13.854,0.8939361008476415
CHEMBL2177834,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5ccccc5)cc4)c3n2)c1,7.82,-14.341999999999999,0.9999999999999996
CHEMBL2177830,Nc1ncccc1-c1nc2cc(-c3ccccc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.48,-12.844,0.6744186046511625
CHEMBL2177821,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)Cc2ccccc2)cc1,6.18,-12.058,0.5035861769180612
CHEMBL2177826,Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,6.96,-12.266,0.5487937404911976
CHEMBL2177825,Nc1ncccc1-c1nc2cc(Br)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.57,-12.004,0.4918495979134969
CHEMBL2177822,CC(=O)NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.09,-10.238,0.10801999565311883
CHEMBL2177828,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5cccc(F)c5)cc4)c3n2)c1,7.77,-13.680000000000001,0.8561182351662684
CHEMBL2177829,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,7.3,-12.602,0.6218213431862638
CHEMBL2177815,CC(=O)Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,5.89,-9.952,0.04585959574005656
CHEMBL2177824,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNCc2ccccc2)cc1,6.58,-11.404,0.3614431645294501
CHEMBL2177833,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,8.28,-12.67,0.6366007389697891
CHEMBL2177819,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.64,-11.472,0.37622256031297535
CHEMBL2177820,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)C2CCCCC2)cc1,6.6,-11.676,0.4205607476635514
CHEMBL2177823,Nc1ncccc1-c1nc2cccnc2n1-c1cccc(CNC(=O)c2ccccc2)c1,4.89,-11.597999999999999,0.40360791132362506
CHEMBL2177841,COc1ccccc1Cn1c(-c2cccnc2N)nc2cccnc21,4.24,-8.078,-0.3614431645294501
CHEMBL2177847,NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.03,-9.548,-0.041947402738535006
CHEMBL2177817,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(NC(=O)c2ccccc2)cc1,7.85,-11.294,0.3375353184090416
CHEMBL2177832,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.55,-12.836000000000002,0.6726798522060425
CHEMBL2177831,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,8.1,-12.504,0.6005216257335361
CHEMBL2177816,Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.13,-8.79,-0.20669419691371446
