molecule_chembl_id,canonical_smiles,pchembl_value,valid_score_run1,best_any_score_run1,valid_score_run2,best_any_score_run2,valid_score_run3,best_any_score_run3,valid_score_run4,best_any_score_run4,valid_score_run5,best_any_score_run5,mean_valid_score,std_valid_score
CHEMBL4863546,Cc1cc(=O)n2nc(-c3cn[nH]c3)c(-c3ccccc3)c2[nH]1,4.3,-6.14,-6.14,-6.14,-6.14,-6.15,-6.15,-6.13,-6.13,-6.15,-6.15,-6.142,0.007483314773548104
CHEMBL4531472,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1cscn1,6.8,-7.09,-7.09,-7.09,-7.09,-7.09,-7.09,-7.06,-7.06,-7.1,-7.1,-7.086,0.013564659966250588
CHEMBL4874436,Cc1cc(=O)n2nc(-c3cccc(O)c3)c(-c3ccccc3)c2[nH]1,4.91,-6.89,-6.89,-6.63,-6.63,-6.87,-6.87,-6.43,-6.43,-6.88,-6.88,-6.74,0.1828660712105994
CHEMBL4872447,CC(=O)Nc1cc(=O)n2nc(-c3ccccc3)c(-c3ccccc3)c2[nH]1,5.39,-6.75,-6.75,-6.75,-6.75,-6.75,-6.87,-6.75,-6.75,-6.75,-6.75,-6.75,0.0
CHEMBL4529030,COc1ccc(-c2c(Nc3cnccn3)[nH]c3c(C4=CCCCC4)c(-c4ccccc4)nn3c2=O)cc1,7.55,-9.64,-9.64,-9.64,-9.64,-9.63,-9.63,-9.65,-9.65,-9.24,-9.24,-9.56,0.1601249512099849
CHEMBL4552037,Cc1[nH]c2c(-c3ccccc3)c(-c3ccccc3)nn2c(=O)c1-c1ccc2ncccc2c1,7.01,-8.76,-8.76,-8.84,-8.84,-8.81,-8.81,-8.82,-8.82,-8.63,-8.63,-8.772000000000002,0.07573638491504572
CHEMBL4558617,COc1ccc(-c2c(Nc3cc[nH]n3)[nH]c3c(C4=CCCCC4)c(-c4ccccc4)nn3c2=O)cc1,8.3,-9.31,-9.31,-9.33,-9.33,-9.33,-9.33,-9.3,-9.3,-9.32,-9.32,-9.318000000000001,0.011661903789690353
CHEMBL4862694,Cc1cc(=O)n2nc(-c3ccccc3)c(-c3ccccn3)c2[nH]1,5.15,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,-6.49,0.0
CHEMBL4560666,Cc1[nH]c2c(N3CCCCC3)c(-c3ccccc3)nn2c(=O)c1-c1ccc(O)cc1,7.24,-7.74,-7.74,-7.47,-7.47,-7.86,-7.86,-7.82,-7.82,-7.86,-7.86,-7.75,0.14669696656713818
CHEMBL4539385,CCc1cc(=O)n2nc(-c3ccccc3)c(-c3ccccc3)c2[nH]1,5.44,-6.53,-6.53,-6.53,-6.53,-6.52,-6.52,-6.52,-6.52,-6.54,-6.54,-6.5280000000000005,0.007483314773548103
