molecule_chembl_id,canonical_smiles,pchembl_value,valid_score_run1,best_any_score_run1,valid_score_run2,best_any_score_run2,valid_score_run3,best_any_score_run3,valid_score_run4,best_any_score_run4,valid_score_run5,best_any_score_run5,mean_valid_score,std_valid_score
CHEMBL4071328,NC1CCN(c2nc(Nc3cn(-c4ccccc4)cn3)c3cc(Cl)ccc3n2)CC1,5.84,-9.97,-10.84,-9.83,-10.81,-10.08,-10.57,-9.78,-11.07,-9.7,-10.55,-9.872,0.13614697940094045
CHEMBL4081464,C[C@@H]1CN(C(=O)c2nc(Nc3cc(C4CC4)[nH]n3)c3ccc(Cl)cc3n2)CCN1,8.15,-11.32,-11.32,-10.96,-10.96,-11.29,-11.29,-10.8,-10.8,-11.34,-11.34,-11.142,0.22039963702329413
CHEMBL4059904,Cc1cc(Nc2nc(C(=O)N3CCN[C@@H](C)C3)nc3ccc(Cl)cc23)n[nH]1,6.51,-11.03,-11.03,-11.7,-11.7,-11.7,-11.7,-11.03,-11.03,-11.7,-11.7,-11.431999999999999,0.3282316255329458
CHEMBL4063425,C[C@H]1CNCCN1C(=O)c1nc(Nc2cc(C3CC3)[nH]n2)c2cc(Cl)ccc2n1,7.58,-11.83,-11.83,-12.09,-12.09,-10.49,-10.59,-12.11,-12.11,-11.83,-11.83,-11.67,0.6022624012836928
CHEMBL4102034,NC1CCN(c2nc(Nc3cn(C4CC4)cn3)c3cc(Cl)ccc3n2)CC1,6.19,-11.53,-11.53,-11.54,-11.54,-11.54,-11.54,-11.5,-11.5,-11.54,-11.54,-11.53,0.015491933384829336
CHEMBL4093999,Cc1cc(Nc2nc(C(=O)N3CCNCC3)nc3ccc(Cl)cc23)n[nH]1,7.265,-10.51,-10.51,-10.53,-10.53,-10.53,-10.53,-10.53,-10.53,-10.53,-10.53,-10.526,0.00799999999999983
CHEMBL1198335,COc1cccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c1,4.83,,-8.48,,-8.47,,-8.44,,-8.37,,-8.59,,0.0
CHEMBL4084054,Cn1cnc(Nc2nc(N3CCC(N)CC3)nc3ccc(Cl)cc23)c1,6.48,-9.44,-9.44,-9.42,-9.42,-9.43,-9.43,-9.42,-9.42,-9.38,-9.38,-9.418000000000001,0.020396078054370704
CHEMBL4101547,C[C@@H]1CN(C(=O)c2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)CCN1,7.77,-11.7,-11.7,-11.67,-11.67,-11.65,-11.65,-11.39,-11.39,-11.7,-11.7,-11.622,0.11754148203932051
CHEMBL4077032,C[C@H]1CN(C(=O)c2nc(Nc3cc(C4CC4)[nH]n3)c3cc(Cl)ccc3n2)CCN1,7.55,-11.61,-11.61,-11.82,-11.82,-11.86,-11.86,-11.19,-11.19,-11.83,-11.83,-11.661999999999999,0.2521428166734085
