molecule_chembl_id,canonical_smiles,pchembl_value,valid_score_run1,best_any_score_run1,valid_score_run2,best_any_score_run2,valid_score_run3,best_any_score_run3,valid_score_run4,best_any_score_run4,valid_score_run5,best_any_score_run5,mean_valid_score,std_valid_score
CHEMBL250225,NCCCc1cc2cc[nH]c(=O)c2c2cc(C(N)=O)ccc12,7.96,-9.66,-9.66,-9.66,-9.66,-9.7,-9.7,-9.92,-9.92,-9.97,-9.97,-9.782,0.13481839637082194
CHEMBL248665,NCCCc1cc2c(-c3cccc(Cl)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,7.94,-12.61,-12.61,-12.64,-12.64,-12.73,-12.73,-12.69,-12.69,-12.88,-12.88,-12.709999999999999,0.09444575162494111
CHEMBL399902,O=c1[nH]ccc2c3[nH]cnc3c3ccc(F)cc3c12,6.21,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,-7.76,0.0
CHEMBL250033,NCCCc1cc2c(-c3ccc(F)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46,-12.0,-12.0,-12.04,-12.04,-12.16,-12.16,-12.02,-12.02,-12.09,-12.09,-12.062,0.05741080037762946
CHEMBL248995,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.44,-7.57,-7.57,-7.59,-7.59,-7.56,-7.56,-7.55,-7.55,-7.54,-7.54,-7.562,0.01720465053408526
CHEMBL250272,NCCCc1cc2c(-c3ccc(Cl)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92,-12.13,-12.13,-12.32,-12.32,-12.3,-12.3,-12.36,-12.36,-11.88,-11.88,-12.198000000000002,0.17735839421916258
CHEMBL249238,CN(C)CCNC(=O)c1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,8.7,-9.96,-9.96,,-9.85,-9.62,-9.71,-10.11,-10.11,-10.06,-10.06,-9.9375,0.19109879643786382
CHEMBL248993,N#Cc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.4,-8.12,-8.12,-8.12,-8.12,-8.11,-8.11,-8.12,-8.12,-8.12,-8.12,-8.117999999999999,0.003999999999999915
CHEMBL250459,NCCCc1cc2c(-c3ccc(Cl)cc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92,-13.06,-13.06,-12.78,-12.78,-13.17,-13.17,-13.14,-13.14,-13.17,-13.17,-13.064000000000002,0.147594037819961
CHEMBL249240,NCCCc1cc2c(-c3ccccc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-12.02,-12.02,-12.27,-12.27,-12.26,-12.26,-12.13,-12.13,-12.27,-12.27,-12.19,0.10019980039900268
CHEMBL249401,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.38,-8.17,-8.17,-8.18,-8.18,-8.2,-8.2,-8.19,-8.19,-8.18,-8.18,-8.184000000000001,0.010198039027185352
CHEMBL249443,NCCCc1cc2c(-c3ccc(O)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.52,-12.46,-12.46,-12.4,-12.4,-12.51,-12.51,-12.36,-12.36,-12.45,-12.45,-12.436,0.051613951602255854
CHEMBL428409,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.52,-10.3,-10.3,-10.28,-10.28,-10.28,-10.28,-10.18,-10.18,-9.99,-9.99,-10.206,0.11586198686368179
CHEMBL249441,NCCCc1cc2c(-c3cccc(O)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.0,-12.15,-12.15,-12.02,-12.02,-12.4,-12.4,-11.76,-11.76,-12.32,-12.32,-12.129999999999999,0.22733235581412536
