molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL249597,NCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.96
CHEMBL250628,O=c1[nH]ccc2cc(CCO)c3ccc(Br)cc3c12,6.11
CHEMBL250459,NCCCc1cc2c(-c3ccc(Cl)cc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92
CHEMBL249237,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN4CCOCC4)cc3)ccc12,9.22
CHEMBL428409,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.52
CHEMBL249241,NCCCc1cc2c(-c3ccccc3O)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7
CHEMBL248993,N#Cc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.4
CHEMBL249796,NCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,8.52
CHEMBL250033,NCCCc1cc2c(-c3ccc(F)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46
CHEMBL399902,O=c1[nH]ccc2c3[nH]cnc3c3ccc(F)cc3c12,6.21
CHEMBL248995,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.44
CHEMBL249595,NCCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.77
CHEMBL399023,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.52
CHEMBL399966,CNCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.36
CHEMBL249044,NCCCc1cc2c(Br)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.64
CHEMBL249240,NCCCc1cc2c(-c3ccccc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7
CHEMBL400661,O=c1[nH]ccc2cc(CO)c3ccc(Br)cc3c12,6.36
CHEMBL248992,N#Cc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,5.97
CHEMBL400127,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.6
CHEMBL250035,NCCCc1cc2c(-c3ccccc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.1
CHEMBL248988,O=c1[nH]ccc2ccc3ccc(Cl)cc3c12,6.24
CHEMBL436640,O=c1[nH]ccc2c3[nH]c(-c4ccccc4)nc3c3ccc(F)cc3c12,5.97
CHEMBL401156,C=Cc1c[nH]c(=O)c2c1cc(CCCN)c1ccc(-c3cn[nH]c3)cc12,8.44
CHEMBL248584,O=c1[nH]ccc2c3[nH]c(-c4cccnc4)nc3c3ccc(F)cc3c12,6.96
CHEMBL249441,NCCCc1cc2c(-c3cccc(O)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.0
CHEMBL249224,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46
CHEMBL249236,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN)cc3)ccc12,8.19
CHEMBL400350,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,8.62
CHEMBL250029,CN(C)CCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.89
CHEMBL250272,NCCCc1cc2c(-c3ccc(Cl)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92
CHEMBL249632,NCCCc1cc2c(-c3ccccc3F)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.59
CHEMBL250225,NCCCc1cc2cc[nH]c(=O)c2c2cc(C(N)=O)ccc12,7.96
CHEMBL249443,NCCCc1cc2c(-c3ccc(O)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.52
CHEMBL428580,Cn1cc(-c2ccc3c(CCCN)cc4cc[nH]c(=O)c4c3c2)cn1,8.04
CHEMBL249834,NCCCc1cc2c(-c3cccc(F)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.43
CHEMBL249400,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.29
CHEMBL249429,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,9.3
CHEMBL248665,NCCCc1cc2c(-c3cccc(Cl)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,7.94
CHEMBL249401,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.38
CHEMBL400323,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.37
CHEMBL250222,NCCCc1cc2cc[nH]c(=O)c2c2ccccc12,7.01
CHEMBL250224,N#Cc1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,7.6
CHEMBL249238,CN(C)CCNC(=O)c1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,8.7
CHEMBL249594,NCCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.92
