molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL1765768,CCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.28
CHEMBL1765777,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,6.95
CHEMBL1765784,CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.57
CHEMBL1765779,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.96
CHEMBL1765783,CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7
CHEMBL1765785,O=C(Nc1ccc(N2CCCCC2)cc1)c1cc(-c2ccncc2)c[nH]c1=O,6.85
CHEMBL1765780,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,7.64
CHEMBL1765769,CCCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.55
CHEMBL1765774,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,8.15
CHEMBL1765097,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,7.03
CHEMBL1765773,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCC2)cc1,6.77
CHEMBL1765767,Cc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,5.92
CHEMBL1738829,CNc1nccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.8
CHEMBL1765772,CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.68
CHEMBL1765776,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,6.84
CHEMBL1765775,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,7.34
CHEMBL1765781,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,8.15
CHEMBL1738828,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccccc1,5.89
CHEMBL1765771,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(C2CCCCC2)cc1,6.66
CHEMBL1765782,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7
CHEMBL1765770,CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.92
CHEMBL1765766,Cc1cccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)c1,5.68
