molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL394621,Cc1nn(C)cc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.62
CHEMBL244165,CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.16
CHEMBL243342,Cc1nc(N)sc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.64
CHEMBL394368,Cc1noc(C)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.1
CHEMBL244802,CN(C)S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.02
CHEMBL242862,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3)nc21,5.59
CHEMBL396498,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3N)nc21,5.25
CHEMBL244590,CS(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.9
CHEMBL243116,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4c(C)nn(C)c4Cl)cc3)nc21,6.27
CHEMBL389111,Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.81
CHEMBL244589,CN(C)CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.68
CHEMBL242486,O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccnc4)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,5.71
CHEMBL243180,O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccc5cccnc45)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,6.35
CHEMBL389494,Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.54
CHEMBL245018,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3)nc21,6.2
CHEMBL242437,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3NC(C)=O)nc21,5.06
CHEMBL243134,Cn1cc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1,6.41
CHEMBL243343,Cc1nc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1C,6.47
CHEMBL428567,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(=O)C(F)(F)F)cc3)nc21,5.64
CHEMBL120708,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21,5.68
CHEMBL397513,O=C(Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1)C(F)(F)F,5.75
