molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL3410060,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,7.26,-10.19,0.04814406468210225
CHEMBL3410063,CC(C)CNc1nccn2c(-c3ccc(C(N)=O)cc3)cnc12,5.6,-8.52,-0.5656008820286659
CHEMBL3410068,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nccn23)cc1,7.46,-11.134,0.3950753399485487
CHEMBL3410076,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccc(F)cc4)nn23)cc1,8.25,-12.6,0.9338478500551269
CHEMBL3410083,CC(C)(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,8.21,-12.048,0.7309812568908493
CHEMBL3410061,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CCC4)cc3)cnc12,6.75,-10.629999999999999,0.20984932010290325
CHEMBL3410066,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4ccccc4)nccn23)cc1,6.89,-10.692,0.23263506063947112
CHEMBL3410077,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4F)nn23)cc1,8.18,-12.276,0.8147739801543552
CHEMBL3410067,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CC4)nccn23)cc1,7.41,-10.322,0.09665564130834249
CHEMBL3410064,CCCNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,7.16,-9.842,-0.07975009187798558
CHEMBL3410079,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Nc4ccccc4)nn23)cc1,7.89,-11.873999999999999,0.6670341786108047
CHEMBL3410080,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCCC4)nn23)cc1,8.18,-12.678,0.9625137816979058
CHEMBL3410069,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nccn23)cc1,7.24,-10.534,0.17456817346563816
CHEMBL3410065,CC(C)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,6.31,-10.202,0.05255420801176063
CHEMBL3410072,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)cc1,8.38,-12.266,0.8110988607129734
CHEMBL3410074,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(OC4CCCCC4)nn23)cc1,8.12,-12.222,0.7949283351708931
CHEMBL3410073,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,8.6,-12.558,0.9184123484013232
CHEMBL3410062,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC(C)C)cc3)cnc12,6.34,-10.042,-0.006247703050348938
CHEMBL3410081,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCC4)nn23)cc1,8.28,-12.392,0.8574053656743845
CHEMBL3410084,CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,8.55,-11.85,0.6582138919514886
CHEMBL3410078,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4O)nn23)cc1,8.59,-11.878,0.668504226387358
CHEMBL3410075,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4)nn23)cc1,8.17,-11.958,0.6979051819184127
CHEMBL3410082,CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,8.26,-12.084,0.7442116868798238
CHEMBL3410070,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nc(-c4ccccc4)cn23)cc1,8.07,-12.488,0.8926865123116502
CHEMBL3410071,N#Cc1ccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCC3CCOCC3)n2)cc1,8.18,-12.78,1.0
