molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL1255010,Cn1ccc2ncnc(Oc3cccc(NC(=O)c4ccccc4)c3)c21,6.03,-10.076,-0.1483300589390961
CHEMBL1254923,Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1,8.57,-11.918000000000001,0.7563850687622796
CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,8.21,-11.904,0.7495088408644401
CHEMBL1255011,Cn1ccc2ncnc(Oc3cccc(C(=O)Nc4ccccc4)c3)c21,6.06,-10.326,-0.025540275049115723
CHEMBL1254752,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c21,7.5,-11.936,0.7652259332023577
CHEMBL1255093,Cn1ccc2ncnc(Oc3ccc(NC(=O)c4ccccc4)cc3)c21,5.03,-10.35,-0.013752455795678032
CHEMBL1253914,Cn1ccc2ncnc(Oc3ccc(NC(=S)Nc4ccccc4)cc3)c21,5.17,-10.226,-0.0746561886051077
CHEMBL1254590,CNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.2,-9.61,-0.3772102161100201
CHEMBL1253915,Cn1ccc2ncnc(Oc3ccc(Nc4nc5ccccc5[nH]4)cc3)c21,5.38,-10.994,0.3025540275049115
CHEMBL1254190,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.43,-12.414,1.0
CHEMBL1254096,O=C(Nc1ccc(N2CCn3ccc4ncnc2c43)cc1)Nc1cccc(C(F)(F)F)c1,8.15,-12.190000000000001,0.8899803536345784
CHEMBL1254753,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c21,8.28,-11.576,0.5884086444007862
CHEMBL1254836,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c21,7.72,-11.43,0.5166994106090372
CHEMBL1253834,Cn1ccc2ncnc(Oc3ccc(CC(=O)Nc4ccccc4)cc3)c21,5.48,-11.028,0.3192534381139492
CHEMBL1254670,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c21,8.39,-12.132000000000001,0.861493123772103
CHEMBL1254591,CCCNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.41,-10.052000000000001,-0.16011787819253379
CHEMBL1254511,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c21,7.48,-10.93,0.2711198428290765
CHEMBL1254669,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4Cl)cc3)c21,6.47,-11.628,0.6139489194499019
CHEMBL1254002,Cn1ccc2ncnc(Sc3ccc(NC(=O)Nc4ccccc4)cc3)c21,6.96,-11.972,0.7829076620825146
CHEMBL1254924,Cn1ccc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c21,5.75,-10.338,-0.019646365422397314
CHEMBL1254003,Cn1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccccc4)cc3)c21,5.85,-11.802000000000001,0.6994106090373289
CHEMBL1254191,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3Cl)c21,7.52,-12.088,0.8398821218074654
CHEMBL1254835,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c21,8.36,-12.35,0.968565815324165
CHEMBL1254276,COc1cc(Oc2ncnc3ccn(C)c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1,7.85,-12.062000000000001,0.8271119842829083
