molecule_chembl_id,canonical_smiles,pchembl_value,standard_value
CHEMBL106848,NS(=O)(=O)c1ccc(SCCO)cc1,7.68,7.68
CHEMBL2333416,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F,8.46,8.46
CHEMBL106848,NS(=O)(=O)c1ccc(SCCO)cc1,7.22,7.22
CHEMBL2333416,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F,8.0,8.0
CHEMBL106848,NS(=O)(=O)c1ccc(SCCO)cc1,6.48,6.48
CHEMBL2333412,NS(=O)(=O)c1c(F)c(F)cc(F)c1F,7.38,7.38
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,7.42,7.42
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,8.96,8.96
CHEMBL27601,NS(=O)(=O)c1ccccc1,5.75,5.75
CHEMBL2333401,NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1,7.6,7.6
CHEMBL2333400,CCCSc1ccc(S(N)(=O)=O)cc1,7.89,7.89
CHEMBL106848,NS(=O)(=O)c1ccc(SCCO)cc1,6.89,6.89
CHEMBL2333399,NS(=O)(=O)c1c(F)c(F)c(Sc2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(F)c1F,8.17,8.17
CHEMBL2333398,NS(=O)(=O)c1c(F)c(F)c(SC2=S=Nn3c2nc2ccccc23)c(F)c1F,8.17,8.17
CHEMBL2333397,NS(=O)(=O)c1c(F)c(F)c(NC23CC4CC(CC(C4)C2)C3)c(F)c1F,8.3,8.3
CHEMBL2333411,NS(=O)(=O)c1c(F)c(F)c(Sc2nc3ccccc3s2)c(F)c1F,8.96,8.96
CHEMBL2333410,Cc1cc(C)nc(Sc2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)n1,8.0,8.0
CHEMBL2333409,Cc1cc(C)c(CSc2c(F)c(F)c(S(N)(=O)=O)c(F)c2F)c(C)c1,8.48,8.48
CHEMBL2333408,NS(=O)(=O)c1c(F)c(F)c(N2CCOCC2)c(F)c1F,7.75,7.75
CHEMBL2333407,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCc2ccccc2)c(F)c1F,8.89,8.89
CHEMBL2333406,NS(=O)(=O)c1c(F)c(F)c(SCCc2ccccc2)c(F)c1F,8.77,8.77
CHEMBL2333405,NS(=O)(=O)c1c(F)c(F)c(NCCc2ccc(O)cc2)c(F)c1F,8.77,8.77
CHEMBL2333404,NS(=O)(=O)c1c(F)c(F)c(NCc2ccccc2)c(F)c1F,8.04,8.04
CHEMBL2333403,NS(=O)(=O)c1c(F)c(F)c(SCc2ccccc2)c(F)c1F,8.89,8.89
CHEMBL2333402,NS(=O)(=O)c1c(F)c(F)c(Oc2ccccc2)c(F)c1F,8.6,8.6
CHEMBL2333816,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)c2ccccc2)c(F)c1F,8.48,8.48
CHEMBL2333815,NS(=O)(=O)c1c(F)c(F)c(Sc2ccccc2)c(F)c1F,8.4,8.4
CHEMBL2333814,NS(=O)(=O)c1c(F)c(F)c(NCCCCCC(=O)O)c(F)c1F,7.17,7.17
CHEMBL2333420,NS(=O)(=O)c1c(F)c(F)c(SCCC(=O)O)c(F)c1F,7.7,7.7
CHEMBL2333419,NS(=O)(=O)c1c(F)c(F)c(SCC(=O)O)c(F)c1F,7.96,7.96
CHEMBL2333418,CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,8.7,8.7
CHEMBL2333417,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F,7.77,7.77
CHEMBL2333416,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F,8.17,8.17
CHEMBL2333415,NS(=O)(=O)c1c(F)c(F)c(N/N=C/c2ccccc2)c(F)c1F,8.54,8.54
CHEMBL2333414,NNc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,7.04,7.04
CHEMBL2333413,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,7.57,7.57
CHEMBL2333412,NS(=O)(=O)c1c(F)c(F)cc(F)c1F,7.54,7.54
