smiles,stoplight_score
C=Cc1c[nH]c(=O)c2c1cc(CCCN)c1ccc(-c3cn[nH]c3)cc12,0.5
N#Cc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,0.5
NCCCc1cc2c(-c3ccccc3F)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN4CCOCC4)cc3)ccc12,0.42
O=c1[nH]ccc2cc(CCO)c3ccc(Br)cc3c12,0.33
NCCCc1cc2c(-c3ccc(Cl)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.67
NCCCc1cc2c(-c3ccccc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.5
NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN)cc3)ccc12,0.42
CNCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.42
NCCCc1cc2c(-c3ccc(Cl)cc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
CN(C)CCNC(=O)c1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,0.08
NCCCc1cc2cc[nH]c(=O)c2c2ccccc12,0.25
N#CCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.5
N#Cc1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,0.33
N#CCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,0.5
NCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,0.25
NCCCc1cc2c(-c3cccc(F)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCCc1cc2c(Br)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.5
COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,0.5
NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,0.25
NCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.25
COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.5
O=c1[nH]ccc2ccc3ccc(Cl)cc3c12,0.5
NCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.33
NCCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,0.42
NCCCc1cc2c(-c3cccc(O)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
Cn1cc(-c2ccc3c(CCCN)cc4cc[nH]c(=O)c4c3c2)cn1,0.17
CN(C)CCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.42
NCCCc1cc2cc[nH]c(=O)c2c2cc(C(N)=O)ccc12,0.17
N#Cc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.5
O=c1[nH]ccc2c3[nH]cnc3c3ccc(F)cc3c12,0.42
NCCCc1cc2c(-c3ccc(F)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,0.33
NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,0.5
NCCCc1cc2c(-c3ccccc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,0.5
O=c1[nH]ccc2cc(CO)c3ccc(Br)cc3c12,0.33
NCCCc1cc2c(-c3ccc(O)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
O=c1[nH]ccc2c3[nH]c(-c4ccccc4)nc3c3ccc(F)cc3c12,0.5
NCCCc1cc2c(-c3cccc(Cl)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,0.5
O=c1[nH]ccc2c3[nH]c(-c4cccnc4)nc3c3ccc(F)cc3c12,0.5
NCCCc1cc2c(-c3ccccc3O)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.58
NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,0.42
