smiles,stoplight_score
C[C@H](c1nc(-c2ccccc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1noc(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,0.33
C[C@H](c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.17
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1,0.33
C[C@H](c1nc(-c2ccc(F)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1nc(-c2ccc(C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.17
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.0
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.25
C[C@H](c1nc(-c2ccc(Br)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.33
C[C@H](c1nc(-c2ccccc2C(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,0.17
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1nc(-c2cc(Cl)cc(Cl)c2)no1)[C@H](N)C(=O)N1CCCC1,0.25
C[C@H](c1nc(-c2cccc(C(F)(F)F)c2)no1)[C@H](N)C(=O)N1CCCC1,0.25
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2F)no1)[C@H](N)C(=O)N1CCCC1,0.0
C[C@H](c1nnc(-c2ccc(Cl)cc2Cl)o1)[C@H](N)C(=O)N1CCCC1,0.33
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.17
C[C@H](c1nc(-c2ccccc2)no1)[C@H](N)C(=O)N1CCCC1,0.0
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.17
C[C@H](c1nc(-c2ccc(F)cc2F)no1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.08
C[C@H](c1nc(-c2ccccc2F)no1)[C@H](N)C(=O)N1CCCC1,0.0
C[C@H](c1nc(-c2ccc(S(N)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.17
CC(C)C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,0.33
C[C@H](c1nc(-c2ccc(Cl)cc2Cl)co1)[C@H](N)C(=O)N1CCCC1,0.25
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCC(F)(F)C1,0.25
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,0.33
CS(=O)(=O)c1ccc(-c2noc([C@@H](CCO)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,0.25
C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,0.08
CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)cc1,0.17
Cc1cc(S(C)(=O)=O)ccc1-c1noc([C@@H](CC2CC2)[C@H](N)C(=O)N2CC[C@H](F)C2)n1,0.25
C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,0.08
C[C@H](c1nc(-c2ccc(OC(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,0.17
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@@H](F)C1,0.17
C[C@H](c1nc(-c2ccccc2C(F)F)no1)[C@H](N)C(=O)N1CCCC1,0.17
C[C@H](c1nc(-c2ccccc2OC(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,0.08
