smiles,qed,sa,is_novel,has_fragment,passes_medchem,molecule_chembl_id,pchembl_value
O=C(Nc1ccc(N2CCCCC2)cc1)c1cc(-c2ccncc2)c[nH]c1=O,0.7302115038655576,2.1780101713043134,true,true,true,CHEMBL1765785,6.85
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccccc1,0.7787461509402066,1.9872240783406028,true,true,true,CHEMBL1738828,5.89
CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,0.4541616932491842,3.1128817780157974,true,true,true,CHEMBL1765783,7.7
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,0.6037771846560056,2.487637427963655,true,true,true,CHEMBL1765779,7.96
CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0.7521933825181475,2.1781062017924278,true,true,true,CHEMBL1765770,6.92
CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,0.4512895870730499,3.2086085705354606,true,true,true,CHEMBL1765784,7.57
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,0.5937782478346194,2.2471758895021168,true,true,true,CHEMBL1765776,6.84
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(C2CCCCC2)cc1,0.6937004651986955,2.2356810906288906,true,true,true,CHEMBL1765771,6.66
Cc1cccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)c1,0.7808279537645787,2.086106905840966,true,true,true,CHEMBL1765766,5.68
CNc1nccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,0.6037771846560056,2.4027573218628593,true,true,true,CHEMBL1738829,7.8
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,0.48446927921456623,3.133092699319546,true,true,true,CHEMBL1765782,7.7
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCC2)cc1,0.748345977712611,2.1736416385663553,true,true,true,CHEMBL1765773,6.77
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,0.6037771846560056,2.44468729533766,true,true,true,CHEMBL1765775,7.34
CCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0.7748955021157807,2.075723773889683,true,true,true,CHEMBL1765768,6.28
Cc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0.7808279537645787,2.032287325421388,true,true,true,CHEMBL1765767,5.92
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,0.4838590829967678,3.1976890794100434,true,true,true,CHEMBL1765781,8.15
CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,0.6040664028736924,2.3566910088655124,true,true,true,CHEMBL1765777,6.95
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,0.7302115038655574,2.1910779011354578,true,true,true,CHEMBL1765097,7.03
CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,0.6040664028736924,2.4119037409610016,true,true,true,CHEMBL1765780,7.64
CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0.7689139487551168,2.182116891647933,true,true,true,CHEMBL1765772,6.68
CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,0.6040664028736924,2.3709605048867317,true,true,true,CHEMBL1765774,8.15
CCCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,0.7483277497869659,2.1072666207920268,true,true,true,CHEMBL1765769,6.55
