smiles,qed,sa,is_novel,has_fragment,passes_medchem,molecule_chembl_id,pchembl_value
Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.2614759873327754,2.947955398118534,true,true,true,CHEMBL389494,6.54
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3N)nc21,0.384220659072973,2.6628478962420914,true,true,true,CHEMBL396498,5.25
CN(C)CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.36464308163977865,2.650215583672953,true,true,true,CHEMBL244589,5.68
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3)nc21,0.4482057122724827,2.4699308015044963,true,true,true,CHEMBL242862,5.59
Cc1nn(C)cc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.2765140680934185,2.897695518229332,true,true,true,CHEMBL394621,6.62
O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccnc4)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,0.2845121465374581,2.7481269895222837,true,true,true,CHEMBL242486,5.71
O=C(Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1)C(F)(F)F,0.36762826443511865,2.7139470566435957,true,true,true,CHEMBL397513,5.75
CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.4417080304742468,2.526045034730709,true,true,true,CHEMBL244165,6.16
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4c(C)nn(C)c4Cl)cc3)nc21,0.2446471935797436,2.8961482975268193,true,true,true,CHEMBL243116,6.27
Cn1cc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1,0.2829766253702979,2.849951263106176,true,true,true,CHEMBL243134,6.41
CN(C)S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.3466239389742088,2.767613673521863,true,true,true,CHEMBL244802,6.02
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3)nc21,0.2672020179759151,2.871380943160636,true,true,true,CHEMBL245018,6.2
Cc1noc(C)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.2724197950092299,2.873352775754414,true,true,true,CHEMBL394368,6.1
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(=O)C(F)(F)F)cc3)nc21,0.34559418615265675,2.6550982142238784,true,true,true,CHEMBL428567,5.64
O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccc5cccnc45)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,0.24918485358328873,2.8425759080017183,true,true,true,CHEMBL243180,6.35
CS(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.38766615770563734,2.6274993061174285,true,true,true,CHEMBL244590,5.9
Cc1nc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1C,0.2765140680934185,2.9489034112059205,true,true,true,CHEMBL243343,6.47
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3NC(C)=O)nc21,0.31145988390106905,2.6973063587591035,true,true,true,CHEMBL242437,5.06
Cc1nc(N)sc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.2360656213387308,2.962465417894883,true,true,true,CHEMBL243342,6.64
Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,0.46955753251290544,2.5388106966093904,true,true,true,CHEMBL389111,5.81
CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21,0.41802224413422795,2.4629051308845558,true,true,true,CHEMBL120708,5.68
