smiles,stoplight_score
Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,0.58
Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,0.58
COC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2ccc3[nH]c(C)nc(=O)c3c2)s1)C(=O)OC,0.33
CCOC(=O)CC[C@H](NC(=O)c1ccc(N(C)Cc2ccc3nc(C)[nH]c(=O)c3c2)s1)C(=O)OCC,0.58
CCOC(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2ccc3nc(C)[nH]c(=O)c3c2)s1)C(=O)OCC,0.58
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCC(=O)O)s3)cc2c(=O)[nH]1,0.08
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCCCC(=O)O)s3)cc2c(=O)[nH]1,0.25
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCCc4nn[nH]n4)s3)ccc2[nH]1,0.42
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCCCc4nn[nH]n4)s3)ccc2[nH]1,0.33
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCc4nn[nH]n4)C(=O)O)s3)ccc2[nH]1,0.58
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@H](CCc4nn[nH]n4)C(=O)O)s3)ccc2[nH]1,0.58
Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@H](CCC(=O)O)c4nnn[nH]4)s3)cc2c(=O)[nH]1,0.58
Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)c4nnn[nH]4)s3)cc2c(=O)[nH]1,0.58
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCCCS(N)(=O)=O)s3)ccc2[nH]1,0.33
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCCNS(C)(=O)=O)s3)ccc2[nH]1,0.25
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCCCS(=O)c4ccccc4O)s3)cc2c(=O)[nH]1,0.83
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCc4nsc(=O)[nH]4)s3)ccc2[nH]1,0.5
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCCN4C(=O)NC(=O)[C@H]4C)s3)cc2c(=O)[nH]1,0.25
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCc4ccccn4)s3)cc2c(=O)[nH]1,0.5
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCc4cccc(C(=O)O)c4)s3)cc2c(=O)[nH]1,0.67
Cc1nc2ccc(CN(C)c3ccc(C(=O)Nc4n[nH]c5ccccc45)s3)cc2c(=O)[nH]1,0.58
Cc1nc2ccc(CN(C)c3ccc(C(=O)N4CCc5ccc(C(=O)O)cc5C4)s3)cc2c(=O)[nH]1,0.5
Cc1nc2ccc(CN(C)c3ccc(C(=O)NCc4cc(=O)[nH]c(=O)[nH]4)s3)cc2c(=O)[nH]1,0.5
Cc1nc(=O)c2cc(CN(C)c3cccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c3)ccc2[nH]1,0.42
CCOC(=O)CC[C@H](NC(=O)c1cccc(N(C)Cc2ccc3[nH]c(C)nc(=O)c3c2)c1)C(=O)OCC,0.58
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NCCCS(C)(=N)=O)cc3)ccc2[nH]1,0.42
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)Nc4n[nH]c5ccccc45)cc3)ccc2[nH]1,0.67
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@]4(C(=O)O)CCC[C@@H](C(=O)O)C4)cc3)ccc2[nH]1,0.5
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@]4(C(=O)O)CCC[C@H](C(=O)O)C4)cc3)ccc2[nH]1,0.5
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@]4(C(=O)O)CC[C@H](C(=O)O)C4)cc3)ccc2[nH]1,0.5
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N4CCCS(=N)(=O)CC4)cc3)ccc2[nH]1,0.25
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.5
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)OC)C(=O)OC)cc1,0.58
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)OC)C(=O)OC)cc1,0.58
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)OCC)C(=O)OCC)cc1,0.75
Cc1nc(=O)c2cc(CN(C)c3sc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3F)ccc2[nH]1,0.67
CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)s1,0.58
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.58
C=CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)s1,0.75
CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.42
C=CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.5
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1cnc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s1,0.5
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1cc(F)c(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c1,0.75
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.5
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(Cl)c1,0.75
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cc2c(=O)[nH]1,0.42
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.5
C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@H](CSCCC(=O)O)C(=O)O)cc1,0.83
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(C(=O)O)C(C)CC(=O)O)cc3)cc2c(=O)[nH]1,0.58
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1,0.75
C#CCN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CC(=O)NCC(=O)O)C(=O)O)cc1,0.67
C#CCN(Cc1cc(Cl)c2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1,0.75
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)CC(=O)O)cc3)cc2c(=O)[nH]1,0.58
