smiles,qed,sa,is_novel,has_fragment,passes_medchem,molecule_chembl_id,pchembl_value
N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)cc1,0.3886889741486251,2.6935841241068754,true,true,true,CHEMBL3410072,8.38
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC(C)C)cc3)cnc12,0.7116759821569519,2.364566475765031,true,true,true,CHEMBL3410062,6.34
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4O)nn23)cc1,0.32435309685769037,2.7666148933376444,true,true,true,CHEMBL3410078,8.59
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Nc4ccccc4)nn23)cc1,0.33184428928706644,2.6198722038029256,true,true,true,CHEMBL3410079,7.89
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.7157724115386382,2.3577822961164685,true,true,true,CHEMBL3410060,7.26
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CC4)nccn23)cc1,0.718658207322222,2.3648331817713526,true,true,true,CHEMBL3410067,7.41
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4)nn23)cc1,0.3698262081017165,2.6457044244125036,true,true,true,CHEMBL3410075,8.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCCC4)nn23)cc1,0.4189100825494845,2.74136697883921,true,true,true,CHEMBL3410080,8.18
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccc(F)cc4)nn23)cc1,0.3509339184559247,2.6933405343632852,true,true,true,CHEMBL3410076,8.25
N#Cc1ccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCC3CCOCC3)n2)cc1,0.3886889741486251,2.7005559189786705,true,true,true,CHEMBL3410071,8.18
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4F)nn23)cc1,0.3509339184559247,2.729146944619698,true,true,true,CHEMBL3410077,8.18
O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nccn23)cc1,0.5235714989175575,2.4149431919422124,true,true,true,CHEMBL3410069,7.24
O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4ccccc4)nccn23)cc1,0.5297128625916578,2.2135087224262033,true,true,true,CHEMBL3410066,6.89
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(OC4CCCCC4)nn23)cc1,0.47073712795543615,2.805400215413954,true,true,true,CHEMBL3410074,8.12
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CCC4)cc3)cnc12,0.6996768778789592,2.3758524353644965,true,true,true,CHEMBL3410061,6.75
CC(C)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.7514286827018282,2.351730326100803,true,true,true,CHEMBL3410065,6.31
CC(C)CNc1nccn2c(-c3ccc(C(N)=O)cc3)cnc12,0.7582344669314164,2.3597253351040113,true,true,true,CHEMBL3410063,5.6
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nccn23)cc1,0.6748158693398771,2.5128234735574253,true,true,true,CHEMBL3410068,7.46
CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,0.395362915608755,3.0588967966907026,true,true,true,CHEMBL3410084,8.55
N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,0.31887015028472027,2.8717114913623476,true,true,true,CHEMBL3410073,8.6
CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,0.48331286076203983,2.7549425838596573,true,true,true,CHEMBL3410082,8.26
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nc(-c4ccccc4)cn23)cc1,0.4083639979463084,2.5406634279872353,true,true,true,CHEMBL3410070,8.07
CCCNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.7259649310328286,2.2932877746381823,true,true,true,CHEMBL3410064,7.16
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCC4)nn23)cc1,0.44579498648050175,2.7279064451642334,true,true,true,CHEMBL3410081,8.28
CC(C)(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,0.4838273648455873,2.811946358085189,true,true,true,CHEMBL3410083,8.21
