smiles,stoplight_score
N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)cc1,0.5
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC(C)C)cc3)cnc12,0.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4O)nn23)cc1,0.5
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Nc4ccccc4)nn23)cc1,0.5
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CC4)nccn23)cc1,0.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4)nn23)cc1,0.5
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCCC4)nn23)cc1,0.42
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccc(F)cc4)nn23)cc1,0.58
N#Cc1ccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCC3CCOCC3)n2)cc1,0.5
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4F)nn23)cc1,0.58
O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nccn23)cc1,0.42
O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4ccccc4)nccn23)cc1,0.5
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(OC4CCCCC4)nn23)cc1,0.42
CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CCC4)cc3)cnc12,0.17
CC(C)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.17
CC(C)CNc1nccn2c(-c3ccc(C(N)=O)cc3)cnc12,0.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nccn23)cc1,0.25
CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,0.58
N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,0.67
CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,0.33
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nc(-c4ccccc4)cn23)cc1,0.58
CCCNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,0.17
O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCC4)nn23)cc1,0.42
CC(C)(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,0.42
