smiles,qed,sa,is_novel,has_fragment,passes_medchem,molecule_chembl_id,pchembl_value
CCCNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,0.7540195858008946,2.2963953457960393,true,true,true,CHEMBL1254591,5.41
Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1,0.5426155353384664,2.2516126728677914,true,true,true,CHEMBL1254923,8.57
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c21,0.5469306690900548,2.272537459192579,true,true,true,CHEMBL1254836,7.72
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,0.3858661433391187,2.5225863577805523,true,true,true,CHEMBL1254190,8.43
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4Cl)cc3)c21,0.5075355565789266,2.2562126728677914,true,true,true,CHEMBL1254669,6.47
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3Cl)c21,0.3858661433391187,2.494069434703631,true,true,true,CHEMBL1254191,7.52
Cn1ccc2ncnc(Oc3cccc(NC(=O)c4ccccc4)c3)c21,0.6071344516471523,2.146436169625604,true,true,true,CHEMBL1255010,6.03
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c21,0.45553900922982277,2.3932986336723303,true,true,true,CHEMBL1254753,8.28
Cn1ccc2ncnc(Oc3ccc(CC(=O)Nc4ccccc4)cc3)c21,0.5865892717678476,2.168285455508906,true,true,true,CHEMBL1253834,5.48
Cn1ccc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c21,0.565633680306324,2.2136587758594413,true,true,true,CHEMBL1254924,5.75
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,0.40308245044985463,2.521181742395939,true,true,true,CHEMBL1254007,8.21
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c21,0.46097899814880333,2.310798997654116,true,true,true,CHEMBL1254835,8.36
Cn1ccc2ncnc(Sc3ccc(NC(=O)Nc4ccccc4)cc3)c21,0.5044048029850557,2.3099789316530153,true,true,true,CHEMBL1254002,6.96
COc1cc(Oc2ncnc3ccn(C)c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1,0.41703625854372567,2.5078599039589147,true,true,true,CHEMBL1254276,7.85
Cn1ccc2ncnc(Oc3ccc(NC(=S)Nc4ccccc4)cc3)c21,0.509594993258583,2.2514815606695695,true,true,true,CHEMBL1253914,5.17
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c21,0.5075355565789266,2.2651442967994164,true,true,true,CHEMBL1254670,8.39
Cn1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccccc4)cc3)c21,0.5061352046577237,2.1693405674855395,true,true,true,CHEMBL1254003,5.85
Cn1ccc2ncnc(Oc3ccc(Nc4nc5ccccc5[nH]4)cc3)c21,0.4993710532418495,2.4600773079918667,true,true,true,CHEMBL1253915,5.38
O=C(Nc1ccc(N2CCn3ccc4ncnc2c43)cc1)Nc1cccc(C(F)(F)F)c1,0.45847171401932163,2.6137821437337294,true,true,true,CHEMBL1254096,8.15
Cn1ccc2ncnc(Oc3cccc(C(=O)Nc4ccccc4)c3)c21,0.6071344516471523,2.145763902419125,true,true,true,CHEMBL1255011,6.06
Cn1ccc2ncnc(Oc3ccc(NC(=O)c4ccccc4)cc3)c21,0.6071344516471523,2.098783538046657,true,true,true,CHEMBL1255093,5.03
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c21,0.565633680306324,2.1678157378847605,true,true,true,CHEMBL1254511,7.48
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c21,0.5075355565789266,2.2228844677395863,true,true,true,CHEMBL1254752,7.5
CNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,0.7780365889270361,2.336228851692251,true,true,true,CHEMBL1254590,5.2
