molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL2177848,NCc1ccc(-n2c(-c3cccnc3)nc3cccnc32)cc1,5.06,-8.548,-0.11503849072969703
CHEMBL2177835,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.62,-12.436,0.7280711265314972
CHEMBL2177827,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5ccccc5)cc4)c3n2)c1,7.8,-13.656,0.9926271278325923
CHEMBL2177840,CC(C)(C)c1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,5.41,-8.956,-0.026564024720806385
CHEMBL2177837,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,7.33,-11.854,0.6018649029599912
CHEMBL2177818,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,7.55,-11.187999999999999,0.45744334815136056
CHEMBL2177836,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1,8.3,-13.63,0.9869890491163394
CHEMBL2177834,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5ccccc5)cc4)c3n2)c1,7.82,-13.690000000000001,1.0
CHEMBL2177830,Nc1ncccc1-c1nc2cc(-c3ccccc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.48,-12.064,0.6474032310528027
CHEMBL2177821,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)Cc2ccccc2)cc1,6.18,-11.378,0.49864469261628547
CHEMBL2177826,Nc1ncccc1-c1nc2cc(C3CCCC3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,6.96,-11.914,0.6148758538436516
CHEMBL2177825,Nc1ncccc1-c1nc2cc(Br)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.57,-11.22,0.46438252195597984
CHEMBL2177822,CC(=O)NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.09,-9.25,0.037189634609129704
CHEMBL2177828,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5cccc(F)c5)cc4)c3n2)c1,7.77,-13.608,0.9822183671256639
CHEMBL2177829,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,7.3,-12.28,0.69424265423398
CHEMBL2177815,CC(=O)Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,5.89,-9.236,0.03415374606960909
CHEMBL2177824,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNCc2ccccc2)cc1,6.58,-10.45,0.29740865228233765
CHEMBL2177833,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,8.28,-11.738,0.5767103979182477
CHEMBL2177819,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.64,-10.636,0.3377426000216849
CHEMBL2177820,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CNC(=O)C2CCCCC2)cc1,6.6,-10.784,0.36983627886804754
CHEMBL2177823,Nc1ncccc1-c1nc2cccnc2n1-c1cccc(CNC(=O)c2ccccc2)c1,4.89,-11.096,0.43749322346308156
CHEMBL2177841,COc1ccccc1Cn1c(-c2cccnc2N)nc2cccnc21,4.24,-8.258,-0.17792475333405586
CHEMBL2177847,NCc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.03,-8.66,-0.09075138241353091
CHEMBL2177817,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(NC(=O)c2ccccc2)cc1,7.85,-10.873999999999999,0.38935270519353776
CHEMBL2177832,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,7.55,-12.262,0.6903393689688821
CHEMBL2177831,Nc1ncccc1-c1nc2cc(-c3cccnc3)cnc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,8.1,-11.824,0.5953594275181611
CHEMBL2177816,Nc1ccc(-n2c(-c3cccnc3N)nc3cccnc32)cc1,6.13,-8.623999999999999,-0.09855795294372745
