molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL249597,NCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.96,-8.24,0.24446651532349592
CHEMBL250628,O=c1[nH]ccc2cc(CCO)c3ccc(Br)cc3c12,6.11,-7.058,-0.007094211123723205
CHEMBL250459,NCCCc1cc2c(-c3ccc(Cl)cc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92,-11.790000000000001,1.0
CHEMBL249237,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN4CCOCC4)cc3)ccc12,9.22,-9.858,0.5888195232690124
CHEMBL428409,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.52,-9.282,0.46623155505107816
CHEMBL249241,NCCCc1cc2c(-c3ccccc3O)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-10.494,0.7241770715096478
CHEMBL248993,N#Cc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.4,-7.12,0.006101021566401711
CHEMBL249796,NCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,8.52,-8.436,0.28618047673098734
CHEMBL250033,NCCCc1cc2c(-c3ccc(F)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46,-10.964,0.8242054483541429
CHEMBL399902,O=c1[nH]ccc2c3[nH]cnc3c3ccc(F)cc3c12,6.21,-6.708,-0.08158342792281506
CHEMBL248995,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.44,-6.57,-0.11095346197502844
CHEMBL249595,NCCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.77,-8.568000000000001,0.3142735527809309
CHEMBL399023,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.52,-6.752,-0.07221906923950074
CHEMBL399966,CNCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.36,-8.422,0.2832009080590238
CHEMBL249044,NCCCc1cc2c(Br)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.64,-9.808,0.5781782065834277
CHEMBL249240,NCCCc1cc2c(-c3ccccc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-11.0,0.8318671963677637
CHEMBL400661,O=c1[nH]ccc2cc(CO)c3ccc(Br)cc3c12,6.36,-6.93,-0.03433598183881971
CHEMBL248992,N#Cc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,5.97,-6.93,-0.03433598183881971
CHEMBL400127,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.6,-9.35,0.4807037457434731
CHEMBL250035,NCCCc1cc2c(-c3ccccc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.1,-11.442,0.9259364358683313
CHEMBL248988,O=c1[nH]ccc2ccc3ccc(Cl)cc3c12,6.24,-6.44,-0.13862088535754827
CHEMBL436640,O=c1[nH]ccc2c3[nH]c(-c4ccccc4)nc3c3ccc(F)cc3c12,5.97,-8.14,0.22318388195232688
CHEMBL401156,C=Cc1c[nH]c(=O)c2c1cc(CCCN)c1ccc(-c3cn[nH]c3)cc12,8.44,-9.968,0.6122304199772983
