molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL375414,C[C@H](c1nc(-c2ccccc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.0,-9.458,0.0791350869371
CHEMBL220404,C[C@H](c1noc(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,5.92,-9.596,0.14835042354
CHEMBL218882,C[C@H](c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.48,-10.106,0.404146232724
CHEMBL375745,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1,7.72,-10.678,0.691038787338
CHEMBL216855,C[C@H](c1nc(-c2ccc(F)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.08,-9.658,0.17944716897
CHEMBL220301,C[C@H](c1nc(-c2ccc(C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,5.79,-8.778,-0.261925991975
CHEMBL374936,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.91,-10.334,0.518502006242
CHEMBL438992,C[C@H](c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.7,-9.834,0.267721801159
CHEMBL374703,C[C@H](c1nc(-c2ccc(Br)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.8,-10.318,0.510477039679
CHEMBL219370,C[C@H](c1nc(-c2ccccc2C(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,5.32,-9.318,0.00891662951404
CHEMBL218911,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.28,-10.806,0.755238519839
CHEMBL219382,C[C@H](c1nc(-c2cc(Cl)cc(Cl)c2)no1)[C@H](N)C(=O)N1CCCC1,5.13,-9.41,0.0550601872492
CHEMBL375875,C[C@H](c1nc(-c2cccc(C(F)(F)F)c2)no1)[C@H](N)C(=O)N1CCCC1,4.81,-8.812,-0.244872938029
CHEMBL219278,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2F)no1)[C@H](N)C(=O)N1CCCC1,7.37,-10.424,0.563642443156
CHEMBL220402,C[C@H](c1nnc(-c2ccc(Cl)cc2Cl)o1)[C@H](N)C(=O)N1CCCC1,6.25,-10.038,0.370040124833
CHEMBL386812,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,8.1,-11.294,1
CHEMBL216854,C[C@H](c1nc(-c2ccccc2)no1)[C@H](N)C(=O)N1CCCC1,4.71,-9.792,0.246656263932
CHEMBL387333,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,7.72,-10.878,0.791350869371
CHEMBL374032,C[C@H](c1nc(-c2ccc(F)cc2F)no1)[C@H](N)C(=O)N1CCCC1,5.34,-9.266,-0.0171645118145
CHEMBL435320,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,7.4,-10.406,0.554614355774
CHEMBL219369,C[C@H](c1nc(-c2ccccc2F)no1)[C@H](N)C(=O)N1CCCC1,5.32,-9.352,0.0259696834597
CHEMBL219602,C[C@H](c1nc(-c2ccc(S(N)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.72,-10.258,0.480383415069
CHEMBL219371,CC(C)C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1,7.89,-11.04,0.872603655818
CHEMBL218254,C[C@H](c1nc(-c2ccc(Cl)cc2Cl)co1)[C@H](N)C(=O)N1CCCC1,5.74,-9.26,-0.0201738742755
CHEMBL375146,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCC(F)(F)C1,7.72,-10.746,0.72514489523
CHEMBL376498,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,7.89,-11.228,0.966897012929
CHEMBL220357,CS(=O)(=O)c1ccc(-c2noc([C@@H](CCO)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1,7.16,-10.234,0.468345965225
CHEMBL220021,C[C@H](c1nc(-c2ccc(Cl)cc2)no1)[C@H](N)C(=O)N1CCCC1,5.42,-9.3,-0.000111457868925
CHEMBL216835,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,7.77,-10.922,0.813419527419
CHEMBL375442,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)cc1,7.28,-10.746,0.72514489523
CHEMBL219434,Cc1cc(S(C)(=O)=O)ccc1-c1noc([C@@H](CC2CC2)[C@H](N)C(=O)N2CC[C@H](F)C2)n1,7.51,-11.12,0.912728488631
CHEMBL218306,C[C@H](c1n[nH]c(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,5.52,-9.44,0.0701069995542
CHEMBL220249,C[C@H](c1nc(-c2ccc(OC(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,5.75,-9.114,-0.0934016941596
CHEMBL218776,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@@H](F)C1,7.72,-10.592,0.647904592064
CHEMBL216774,C[C@H](c1nc(-c2ccccc2C(F)F)no1)[C@H](N)C(=O)N1CCCC1,5.74,-9.202,-0.0492643780651
CHEMBL426335,C[C@H](c1nc(-c2ccccc2OC(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,4.91,-9.012,-0.144560855996
