molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL1765785,O=C(Nc1ccc(N2CCCCC2)cc1)c1cc(-c2ccncc2)c[nH]c1=O,6.85,-8.022,0.0117647058824
CHEMBL1738828,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccccc1,5.89,-7.67,-0.156120826709
CHEMBL1765783,CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7,-9.538,0.734817170111
CHEMBL1765779,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.96,-8.93,0.444833068362
CHEMBL1765770,CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.92,-8.238,0.114785373609
CHEMBL1765784,CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.57,-9.756,0.838791732909
CHEMBL1765776,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,6.84,-8.538,0.25786963434
CHEMBL1765771,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(C2CCCCC2)cc1,6.66,-8.878,0.420031796502
CHEMBL1765766,Cc1cccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)c1,5.68,-7.934,-0.0302066772655
CHEMBL1738829,CNc1nccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.8,-9.216,0.581240063593
CHEMBL1765782,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7,-9.684,0.804451510334
CHEMBL1765773,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCC2)cc1,6.77,-8.182,0.0880763116057
CHEMBL1765775,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,7.34,-8.738,0.353259141494
CHEMBL1765768,CCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.28,-7.808,-0.0903020667727
CHEMBL1765767,Cc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,5.92,-7.852,-0.0693163751987
CHEMBL1765781,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,8.15,-10.094,1
CHEMBL1765777,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,6.95,-8.66,0.316057233704
CHEMBL1765097,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,7.03,-8.126,0.0613672496025
CHEMBL1765780,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,7.64,-8.58,0.277901430843
CHEMBL1765772,CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.68,-7.724,-0.130365659777
CHEMBL1765774,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,8.15,-9.04,0.497297297297
CHEMBL1765769,CCCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.55,-7.842,-0.0740858505564
