molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL394621,Cc1nn(C)cc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.62,-13.044,0.7394451145958988
CHEMBL244165,CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.16,-11.873999999999999,0.26899879372738184
CHEMBL243342,Cc1nc(N)sc1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.64,-13.069999999999999,0.749899477281865
CHEMBL394368,Cc1noc(C)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.1,-12.674000000000001,0.5906714917571376
CHEMBL244802,CN(C)S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.02,-11.994,0.3172496984318455
CHEMBL242862,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3)nc21,5.59,-10.372,-0.3349416968234822
CHEMBL396498,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(N)cc3N)nc21,5.25,-10.822,-0.15400080418174542
CHEMBL244590,CS(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.9,-11.796,0.237635705669481
CHEMBL243116,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4c(C)nn(C)c4Cl)cc3)nc21,6.27,-12.648,0.58021712907117
CHEMBL389111,Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.81,-10.862,-0.13791716928025732
CHEMBL244589,CN(C)CC(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,5.68,-11.772,0.2279855247285887
CHEMBL242486,O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccnc4)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,5.71,-12.896,0.6799356654603943
CHEMBL243180,O=c1c2[nH]c(Cc3ccc(NS(=O)(=O)c4cccc5cccnc45)cc3)nc2n(CC2CC2)c(=O)n1Cc1ccccc1F,6.35,-13.692000000000002,1.0000000000000007
CHEMBL389494,Cc1nn(C)c(Cl)c1S(=O)(=O)Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1,6.54,-13.238,0.8174507438681139
CHEMBL245018,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3)nc21,6.2,-12.384,0.4740651387213511
CHEMBL242437,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3NC(C)=O)nc21,5.06,-11.274,0.027744270205065966
CHEMBL243134,Cn1cc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1,6.41,-12.868,0.6686771210293527
CHEMBL243343,Cc1nc(S(=O)(=O)Nc2ccc(Cc3nc4c([nH]3)c(=O)n(Cc3ccccc3F)c(=O)n4CC3CC3)cc2)cn1C,6.47,-13.146,0.7804583835946927
CHEMBL428567,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(=O)C(F)(F)F)cc3)nc21,5.64,-11.508,0.12183353437876922
CHEMBL120708,CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2[nH]c(Cc3ccc(NC(C)=O)cc3)nc21,5.68,-11.284,0.03176517893043853
CHEMBL397513,O=C(Nc1ccc(Cc2nc3c([nH]2)c(=O)n(Cc2ccccc2F)c(=O)n3CC2CC2)cc1)C(F)(F)F,5.75,-11.482,0.11137917169280226
