molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL3410072,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)cc1,8.38,-11.704,0.964440749977
CHEMBL3410062,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC(C)C)cc3)cnc12,6.34,-8.382,-0.10944860072
CHEMBL3410078,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4O)nn23)cc1,8.59,-10.984,0.73168929528
CHEMBL3410079,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Nc4ccccc4)nn23)cc1,7.89,-10.73,0.649579754318
CHEMBL3410060,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,7.26,-9.154,0.14011268126
CHEMBL3410067,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CC4)nccn23)cc1,7.41,-9.038,0.102613835781
CHEMBL3410075,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4)nn23)cc1,8.17,-10.75,0.656045072504
CHEMBL3410080,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCCC4)nn23)cc1,8.18,-11.286,0.829315599889
CHEMBL3410076,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccc(F)cc4)nn23)cc1,8.25,-10.608,0.610141313383
CHEMBL3410071,N#Cc1ccc(-c2cn3c(-c4ccc(C(=O)NC5CC5)cc4)cnc3c(NCC3CCOCC3)n2)cc1,8.18,-10.9,0.704534958899
CHEMBL3410077,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(Oc4ccccc4F)nn23)cc1,8.18,-10.59,0.604322527016
CHEMBL3410069,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4cccs4)nccn23)cc1,7.24,-9.228,0.164034358548
CHEMBL3410066,O=C(NC1CC1)c1ccc(-c2cnc3c(NCc4ccccc4)nccn23)cc1,6.89,-9.358,0.206058926757
CHEMBL3410074,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(OC4CCCCC4)nn23)cc1,8.12,-11.814,1
CHEMBL3410061,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CCC4)cc3)cnc12,6.75,-9.07,0.112958344879
CHEMBL3410065,CC(C)Nc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,6.31,-8.736,0.00498753117207
CHEMBL3410063,CC(C)CNc1nccn2c(-c3ccc(C(N)=O)cc3)cnc12,5.6,-7.87,-0.274960746282
CHEMBL3410068,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nccn23)cc1,7.46,-9.356,0.205412394939
CHEMBL3410084,CC(C)(Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1)C(F)(F)F,8.55,-10.28,0.504110095133
CHEMBL3410073,N#Cc1ccc(-c2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)cc4)n3n2)c(N)c1,8.6,-11.412,0.870047104461
CHEMBL3410082,CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,8.26,-9.916,0.386441304147
CHEMBL3410070,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)nc(-c4ccccc4)cn23)cc1,8.07,-10.832,0.682552877067
CHEMBL3410064,CCCNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,7.16,-8.4,-0.103629814353
CHEMBL3410081,O=C(NC1CC1)c1ccc(-c2cnc3c(NCC4CCOCC4)cc(NC4CCCC4)nn23)cc1,8.28,-10.886,0.700009236169
CHEMBL3410083,CC(C)(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,8.21,-10.35,0.526738708784
