molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,score
CHEMBL1255010,Cn1ccc2ncnc(Oc3cccc(NC(=O)c4ccccc4)c3)c21,6.03,-10.04,-0.0447103274559206
CHEMBL1254923,Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1,8.57,-11.746,0.7073047858942064
CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,8.21,-11.836,0.7469773299748109
CHEMBL1255011,Cn1ccc2ncnc(Oc3cccc(C(=O)Nc4ccccc4)c3)c21,6.06,-10.038,-0.045591939546600214
CHEMBL1254752,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c21,7.5,-11.578,0.6332493702770775
CHEMBL1255093,Cn1ccc2ncnc(Oc3ccc(NC(=O)c4ccccc4)cc3)c21,5.03,-10.06,-0.03589420654911899
CHEMBL1253914,Cn1ccc2ncnc(Oc3ccc(NC(=S)Nc4ccccc4)cc3)c21,5.17,-9.74,-0.17695214105793533
CHEMBL1254590,CNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.2,-9.562000000000001,-0.25541561712846395
CHEMBL1253915,Cn1ccc2ncnc(Oc3ccc(Nc4nc5ccccc5[nH]4)cc3)c21,5.38,-9.886000000000001,-0.11259445843828758
CHEMBL1254190,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.43,-12.33,0.9647355163727959
CHEMBL1254096,O=C(Nc1ccc(N2CCn3ccc4ncnc2c43)cc1)Nc1cccc(C(F)(F)F)c1,8.15,-12.038,0.8360201511335011
CHEMBL1254753,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c21,8.28,-11.782,0.7231738035264481
CHEMBL1254836,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c21,7.72,-11.262,0.4939546599496219
CHEMBL1253834,Cn1ccc2ncnc(Oc3ccc(CC(=O)Nc4ccccc4)cc3)c21,5.48,-11.104,0.42430730478589335
CHEMBL1254670,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c21,8.39,-11.94,0.7928211586901759
CHEMBL1254591,CCCNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.41,-9.882000000000001,-0.1143576826196476
CHEMBL1254511,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c21,7.48,-11.32,0.5195214105793448
CHEMBL1254669,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4Cl)cc3)c21,6.47,-11.41,0.5591939546599493
CHEMBL1254002,Cn1ccc2ncnc(Sc3ccc(NC(=O)Nc4ccccc4)cc3)c21,6.96,-11.652000000000001,0.6658690176322419
CHEMBL1254924,Cn1ccc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c21,5.75,-10.756,0.27090680100755615
CHEMBL1254003,Cn1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccccc4)cc3)c21,5.85,-11.234,0.4816120906801003
CHEMBL1254191,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3Cl)c21,7.52,-12.41,1.0
CHEMBL1254835,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c21,8.36,-12.346,0.9717884130982367
CHEMBL1254276,COc1cc(Oc2ncnc3ccn(C)c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1,7.85,-11.459999999999999,0.5812342569269513
