molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
CHEMBL401156,C=Cc1c[nH]c(=O)c2c1cc(CCCN)c1ccc(-c3cn[nH]c3)cc12,8.44,-9.964,0.6586915887850467,0.6586915887850467,0.6586915887850467
CHEMBL248992,N#Cc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,5.97,-6.93,0.09158878504672885,0.09158878504672885,0.09158878504672885
CHEMBL249632,NCCCc1cc2c(-c3ccccc3F)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.59,-11.016,0.8553271028037382,0.8553271028037382,0.8553271028037382
CHEMBL249237,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN4CCOCC4)cc3)ccc12,9.22,-10.128,0.6893457943925233,0.6893457943925233,0.6893457943925233
CHEMBL250628,O=c1[nH]ccc2cc(CCO)c3ccc(Br)cc3c12,6.11,-7.058,0.11551401869158867,0.11551401869158867,0.11551401869158867
CHEMBL250272,NCCCc1cc2c(-c3ccc(Cl)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92,-11.464,0.9390654205607476,0.9390654205607476,0.9390654205607476
CHEMBL249240,NCCCc1cc2c(-c3ccccc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-11.01,0.8542056074766353,0.8542056074766353,0.8542056074766353
CHEMBL249236,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc(CN)cc3)ccc12,8.19,-9.620000000000001,0.5943925233644861,0.5943925233644861,0.5943925233644861
CHEMBL399966,CNCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.36,-8.42,0.3700934579439251,0.3700934579439251,0.3700934579439251
CHEMBL250459,NCCCc1cc2c(-c3ccc(Cl)cc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.92,-11.790000000000001,1.0,1.0,1.0
CHEMBL249238,CN(C)CCNC(=O)c1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,8.7,-9.388,0.5510280373831774,0.5510280373831774,0.5510280373831774
CHEMBL250222,NCCCc1cc2cc[nH]c(=O)c2c2ccccc12,7.01,-7.9879999999999995,0.28934579439252317,0.28934579439252317,0.28934579439252317
CHEMBL249401,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.38,-7.2,0.1420560747663551,0.1420560747663551,0.1420560747663551
CHEMBL250224,N#Cc1ccc2c(CCCN)cc3cc[nH]c(=O)c3c2c1,7.6,-8.629999999999999,0.4093457943925231,0.4093457943925231,0.4093457943925231
CHEMBL249400,N#CCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.29,-7.019999999999999,0.1084112149532707,0.1084112149532707,0.1084112149532707
CHEMBL249597,NCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.96,-8.244,0.33719626168224287,0.33719626168224287,0.33719626168224287
CHEMBL249834,NCCCc1cc2c(-c3cccc(F)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.43,-10.982000000000001,0.8489719626168225,0.8489719626168225,0.8489719626168225
CHEMBL249044,NCCCc1cc2c(Br)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.64,-9.848,0.6370093457943926,0.6370093457943926,0.6370093457943926
CHEMBL248995,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,6.44,-6.57,0.024299065420560727,0.024299065420560727,0.024299065420560727
CHEMBL400127,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.6,-9.364,0.5465420560747664,0.5465420560747664,0.5465420560747664
CHEMBL428409,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.52,-9.292,0.5330841121495326,0.5330841121495326,0.5330841121495326
CHEMBL399023,COC(=O)c1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.52,-6.75,0.057943925233644784,0.057943925233644784,0.057943925233644784
CHEMBL248988,O=c1[nH]ccc2ccc3ccc(Cl)cc3c12,6.24,-6.44,0.0,0.0,0.0
CHEMBL249796,NCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,8.52,-8.44,0.3738317757009344,0.3738317757009344,0.3738317757009344
CHEMBL249594,NCCCc1cc2cc[nH]c(=O)c2c2cc(Cl)ccc12,7.92,-8.406,0.3674766355140187,0.3674766355140187,0.3674766355140187
CHEMBL249441,NCCCc1cc2c(-c3cccc(O)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.0,-10.956,0.8441121495327101,0.8441121495327101,0.8441121495327101
CHEMBL428580,Cn1cc(-c2ccc3c(CCCN)cc4cc[nH]c(=O)c4c3c2)cn1,8.04,-9.76,0.6205607476635513,0.6205607476635513,0.6205607476635513
CHEMBL250029,CN(C)CCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.89,-8.224,0.3334579439252336,0.3334579439252336,0.3334579439252336
CHEMBL250225,NCCCc1cc2cc[nH]c(=O)c2c2cc(C(N)=O)ccc12,7.96,-8.732000000000001,0.42841121495327117,0.42841121495327117,0.42841121495327117
CHEMBL248993,N#Cc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,6.4,-7.12,0.1271028037383177,0.1271028037383177,0.1271028037383177
CHEMBL399902,O=c1[nH]ccc2c3[nH]cnc3c3ccc(F)cc3c12,6.21,-6.708,0.050093457943925196,0.050093457943925196,0.050093457943925196
CHEMBL250033,NCCCc1cc2c(-c3ccc(F)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46,-10.948,0.8426168224299065,0.8426168224299065,0.8426168224299065
CHEMBL400323,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccn[nH]3)ccc12,8.37,-9.26,0.5271028037383176,0.5271028037383176,0.5271028037383176
CHEMBL249429,NCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,9.3,-8.908,0.4613084112149531,0.4613084112149531,0.4613084112149531
CHEMBL250035,NCCCc1cc2c(-c3ccccc3Cl)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.1,-11.488,0.9435514018691586,0.9435514018691586,0.9435514018691586
CHEMBL249595,NCCCc1cc2cc[nH]c(=O)c2c2cc(Br)ccc12,7.77,-8.578,0.39962616822429886,0.39962616822429886,0.39962616822429886
CHEMBL400661,O=c1[nH]ccc2cc(CO)c3ccc(Br)cc3c12,6.36,-6.93,0.09158878504672885,0.09158878504672885,0.09158878504672885
CHEMBL249443,NCCCc1cc2c(-c3ccc(O)cc3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,9.52,-10.888,0.8314018691588784,0.8314018691588784,0.8314018691588784
CHEMBL436640,O=c1[nH]ccc2c3[nH]c(-c4ccccc4)nc3c3ccc(F)cc3c12,5.97,-8.14,0.31775700934579443,0.31775700934579443,0.31775700934579443
CHEMBL248665,NCCCc1cc2c(-c3cccc(Cl)c3)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,7.94,-11.512,0.94803738317757,0.94803738317757,0.94803738317757
CHEMBL400350,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3ccc[nH]3)ccc12,8.62,-9.190000000000001,0.5140186915887852,0.5140186915887852,0.5140186915887852
CHEMBL248584,O=c1[nH]ccc2c3[nH]c(-c4cccnc4)nc3c3ccc(F)cc3c12,6.96,-8.276,0.34317757009345784,0.34317757009345784,0.34317757009345784
CHEMBL249241,NCCCc1cc2c(-c3ccccc3O)c[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.7,-10.358,0.7323364485981309,0.7323364485981309,0.7323364485981309
CHEMBL249224,NCCCc1cc2cc[nH]c(=O)c2c2cc(-c3cn[nH]c3)ccc12,8.46,-9.3,0.5345794392523365,0.5345794392523365,0.5345794392523365
