molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
CHEMBL375414,C[C@H](c1nc(-c2ccccc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.0,-9.458000000000002,0.27027027027027084,0.27027027027027084,0.27027027027027084
CHEMBL220404,C[C@H](c1noc(-c2ccc(Cl)cc2Cl)n1)[C@H](N)C(=O)N1CCCC1,5.92,-9.596,0.3251192368839426,0.3251192368839426,0.3251192368839426
CHEMBL218882,C[C@H](c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.48,-10.106,0.5278219395866453,0.5278219395866453,0.5278219395866453
CHEMBL375745,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1,7.72,-10.678,0.75516693163752,0.75516693163752,0.75516693163752
CHEMBL216855,C[C@H](c1nc(-c2ccc(F)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.08,-9.658,0.3497615262321141,0.3497615262321141,0.3497615262321141
CHEMBL220301,C[C@H](c1nc(-c2ccc(C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,5.79,-8.778,0.0,0.0,0.0
CHEMBL374936,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.91,-10.334,0.6184419713831475,0.6184419713831475,0.6184419713831475
CHEMBL438992,C[C@H](c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.7,-9.834,0.419713831478537,0.419713831478537,0.419713831478537
CHEMBL374703,C[C@H](c1nc(-c2ccc(Br)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1,6.8,-10.318000000000001,0.6120826709062007,0.6120826709062007,0.6120826709062007
CHEMBL219370,C[C@H](c1nc(-c2ccccc2C(F)(F)F)no1)[C@H](N)C(=O)N1CCCC1,5.32,-9.318,0.214626391096979,0.214626391096979,0.214626391096979
CHEMBL218911,C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,6.28,-10.806000000000001,0.8060413354531003,0.8060413354531003,0.8060413354531003
CHEMBL219382,C[C@H](c1nc(-c2cc(Cl)cc(Cl)c2)no1)[C@H](N)C(=O)N1CCCC1,5.13,-9.41,0.2511923688394275,0.2511923688394275,0.2511923688394275
CHEMBL375875,C[C@H](c1nc(-c2cccc(C(F)(F)F)c2)no1)[C@H](N)C(=O)N1CCCC1,4.81,-8.812000000000001,0.01351351351351379,0.01351351351351379,0.01351351351351379
CHEMBL219278,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2F)no1)[C@H](N)C(=O)N1CCCC1,7.37,-10.424000000000001,0.6542130365659781,0.6542130365659781,0.6542130365659781
