molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
CHEMBL1765785,O=C(Nc1ccc(N2CCCCC2)cc1)c1cc(-c2ccncc2)c[nH]c1=O,6.85,-8.022,0.1452145214521454,0.1452145214521454,0.1452145214521454
CHEMBL1738828,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccccc1,5.89,-7.67,0.0,0.0,0.0
CHEMBL1765783,CNc1cc(F)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7,-9.538,0.770627062706271,0.770627062706271,0.770627062706271
CHEMBL1765779,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.96,-8.930000000000001,0.5198019801980206,0.5198019801980206,0.5198019801980206
CHEMBL1765770,CC(C)(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.92,-8.238,0.23432343234323422,0.23432343234323422,0.23432343234323422
CHEMBL1765784,CNc1cc(C#N)cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.57,-9.756,0.860561056105611,0.860561056105611,0.860561056105611
CHEMBL1765776,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,6.84,-8.538,0.3580858085808583,0.3580858085808583,0.3580858085808583
CHEMBL1765771,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(C2CCCCC2)cc1,6.66,-8.878,0.49834983498349855,0.49834983498349855,0.49834983498349855
CHEMBL1765766,Cc1cccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)c1,5.68,-7.934,0.10891089108910904,0.10891089108910904,0.10891089108910904
CHEMBL1738829,CNc1nccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,7.8,-9.216,0.6377887788778877,0.6377887788778877,0.6377887788778877
CHEMBL1765782,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)c1,7.7,-9.684000000000001,0.8308580858085816,0.8308580858085816,0.8308580858085816
CHEMBL1765773,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCC2)cc1,6.77,-8.181999999999999,0.21122112211221072,0.21122112211221072,0.21122112211221072
CHEMBL1765775,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ncn1,7.34,-8.738,0.44059405940594054,0.44059405940594054,0.44059405940594054
CHEMBL1765768,CCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.28,-7.808,0.056930693069306905,0.056930693069306905,0.056930693069306905
CHEMBL1765767,Cc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,5.92,-7.851999999999999,0.0750825082508249,0.0750825082508249,0.0750825082508249
CHEMBL1765781,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCC[C@H]4CN4CCCC4)cc3)c2)n1,8.15,-10.094,1.0,1.0,1.0
CHEMBL1765777,CNc1cccc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)n1,6.95,-8.66,0.4084158415841586,0.4084158415841586,0.4084158415841586
CHEMBL1765097,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)c1ccc(N2CCCCC2)cc1,7.03,-8.126000000000001,0.1881188118811887,0.1881188118811887,0.1881188118811887
CHEMBL1765780,CNc1cncc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)c1,7.64,-8.58,0.37541254125412554,0.37541254125412554,0.37541254125412554
CHEMBL1765772,CN(C)c1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.68,-7.724000000000001,0.022277227722772762,0.022277227722772762,0.022277227722772762
CHEMBL1765774,CNc1cc(-c2c[nH]c(=O)c(NC(=O)c3ccc(N4CCCCC4)cc3)c2)ccn1,8.15,-9.040000000000001,0.5651815181518157,0.5651815181518157,0.5651815181518157
CHEMBL1765769,CCCc1ccc(C(=O)Nc2cc(-c3ccncc3)c[nH]c2=O)cc1,6.55,-7.8420000000000005,0.07095709570957122,0.07095709570957122,0.07095709570957122
