molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
ralt-1,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1,7.154901959985743,-16.74,0.8416910276590955,0.8416910276590955,0.8416910276590955
2a,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)N1,7.154901959985743,-16.728,0.8403418034630087,0.8403418034630087,0.8403418034630087
2b,COC(=O)CC[C@H](NC(=O)C1=CC=C(N(C)CC2=CC3=C(NC(C)=NC3=O)C=C2)S1)C(=O)OC,4.903089986991944,-12.89,0.40881493141443664,0.40881493141443664,0.40881493141443664
2c,CCOC(=O)CC[C@H](NC(=O)C1=CC=C(S1)N(C)CC1=CC2=C(C=C1)N=C(C)NC2=O)C(=O)OCC,5.1249387366083,-12.958000000000002,0.41646053519226456,0.41646053519226456,0.41646053519226456
2d,CCOC(=O)CC[C@@H](NC(=O)C1=CC=C(S1)N(C)CC1=CC2=C(C=C1)N=C(C)NC2=O)C(=O)OCC,5.924453038607469,-12.581999999999999,0.3741848437148637,0.3741848437148637,0.3741848437148637
2e,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)NCC(O)=O)s1,6.6777807052660805,-12.61,0.37733303350573405,0.37733303350573405,0.37733303350573405
2f,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(s1)C(=O)NCCCC(O)=O,7.0,-14.13,0.548234765010119,0.548234765010119,0.548234765010119
2g,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NCCC2=NNN=N2)S1,6.698970004336019,-14.016,0.5354171351472902,0.5354171351472902,0.5354171351472902
2h,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)NCCCC2=NNN=N2)S1,5.995678626217358,-13.882,0.5203507982909825,0.5203507982909825,0.5203507982909825
2i,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(C(=O)N[C@@H](CCC2=NNN=N2)C(O)=O)S1,6.7447274948966935,-16.328,0.7953676635934334,0.7953676635934334,0.7953676635934334
2j,CN(Cc1ccc2c(c1)C(=O)N=C(C)N2)c1ccc(C(=O)N[C@H](CCc2nn[nH]n2)C(O)=O)s1,7.096910013008056,-16.718,0.8392174499662691,0.8392174499662691,0.8392174499662691
2k,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@H](CCC(O)=O)c2nnn[nH]2)s1,7.3979400086720375,-17.942,0.9768383179671686,0.9768383179671686,0.9768383179671686
2l,CN(Cc1ccc2nc(C)[nH]c(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(O)=O)c2nnn[nH]2)s1,7.154901959985743,-18.148000000000003,1.0,1.0,1.0
2m,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCCCS(N)(=O)=O)s1,6.119186407719209,-11.382,0.23926242410613888,0.23926242410613888,0.23926242410613888
2n,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCCNS(C)(=O)=O)s1,5.94692155651658,-11.484,0.2507308297728805,0.2507308297728805,0.2507308297728805
2o,CN(Cc1ccc2c(c1)C(=O)NC(C)=N2)c1ccc(C(=O)NCCCS(=O)c2ccccc2O)s1,6.657577319177793,-12.752,0.3932988531594333,0.3932988531594333,0.3932988531594333
2p,CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)NCc2nsc(=O)[nH]2)s1,7.096910013008056,-10.597999999999999,0.15111310996177185,0.15111310996177185,0.15111310996177185
