molecule_chembl_id,canonical_smiles,pchembl_value,mean_docking_score,norm_score,reward_score,score
CHEMBL1254591,CCCNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.41,-9.884,0.11243851018974009,0.11243851018974009,0.11243851018974009
CHEMBL1254923,Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1,8.57,-11.748000000000001,0.7673928320449758,0.7673928320449758,0.7673928320449758
CHEMBL1254836,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c21,7.72,-11.258,0.5952213633169358,0.5952213633169358,0.5952213633169358
CHEMBL1254190,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,8.43,-12.33,0.971890372452565,0.971890372452565,0.971890372452565
CHEMBL1254669,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4Cl)cc3)c21,6.47,-11.4,0.6451159522136333,0.6451159522136333,0.6451159522136333
CHEMBL1254191,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3Cl)c21,7.52,-12.41,1.0,1.0,1.0
CHEMBL1255010,Cn1ccc2ncnc(Oc3cccc(NC(=O)c4ccccc4)c3)c21,6.03,-10.034,0.16514406184118083,0.16514406184118083,0.16514406184118083
CHEMBL1254753,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c21,8.28,-11.785999999999998,0.7807449051300063,0.7807449051300063,0.7807449051300063
CHEMBL1253834,Cn1ccc2ncnc(Oc3ccc(CC(=O)Nc4ccccc4)cc3)c21,5.48,-11.108,0.5425158116654956,0.5425158116654956,0.5425158116654956
CHEMBL1254924,Cn1ccc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c21,5.75,-10.748000000000001,0.4160224877020383,0.4160224877020383,0.4160224877020383
CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,8.21,-11.836,0.798313422347154,0.798313422347154,0.798313422347154
CHEMBL1254835,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c21,8.36,-12.34,0.9754040758959943,0.9754040758959943,0.9754040758959943
CHEMBL1254002,Cn1ccc2ncnc(Sc3ccc(NC(=O)Nc4ccccc4)cc3)c21,6.96,-11.654,0.7343640196767393,0.7343640196767393,0.7343640196767393
CHEMBL1254276,COc1cc(Oc2ncnc3ccn(C)c23)ccc1NC(=O)Nc1cccc(C(F)(F)F)c1,7.85,-11.476,0.6718200983836967,0.6718200983836967,0.6718200983836967
CHEMBL1253914,Cn1ccc2ncnc(Oc3ccc(NC(=S)Nc4ccccc4)cc3)c21,5.17,-9.73,0.058327477160927746,0.058327477160927746,0.058327477160927746
CHEMBL1254670,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c21,8.39,-11.941999999999998,0.8355586788475047,0.8355586788475047,0.8355586788475047
CHEMBL1254003,Cn1ccc2ncnc(Nc3ccc(NC(=O)Nc4ccccc4)cc3)c21,5.85,-11.236,0.5874912157413916,0.5874912157413916,0.5874912157413916
CHEMBL1253915,Cn1ccc2ncnc(Oc3ccc(Nc4nc5ccccc5[nH]4)cc3)c21,5.38,-9.886,0.11314125087842557,0.11314125087842557,0.11314125087842557
CHEMBL1254096,O=C(Nc1ccc(N2CCn3ccc4ncnc2c43)cc1)Nc1cccc(C(F)(F)F)c1,8.15,-12.033999999999999,0.8678847505270552,0.8678847505270552,0.8678847505270552
CHEMBL1255011,Cn1ccc2ncnc(Oc3cccc(C(=O)Nc4ccccc4)c3)c21,6.06,-10.04,0.1672522839072379,0.1672522839072379,0.1672522839072379
CHEMBL1255093,Cn1ccc2ncnc(Oc3ccc(NC(=O)c4ccccc4)cc3)c21,5.03,-10.058000000000002,0.17357695010541166,0.17357695010541166,0.17357695010541166
CHEMBL1254511,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccc4)cc3)c21,7.48,-11.32,0.6170063246661982,0.6170063246661982,0.6170063246661982
CHEMBL1254752,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c21,7.5,-11.574000000000002,0.7062543921293049,0.7062543921293049,0.7062543921293049
CHEMBL1254590,CNC(=O)Nc1ccc(Oc2ncnc3ccn(C)c23)cc1,5.2,-9.564,0.0,0.0,0.0
